id,name,recvTime,NO2,O3,SO2,CO,CO2,PM10,PM25,PM1
7355,SondaCO2-ExteriorEduardoLatorre,2022-02-16T10:42:03.37Z,,,,,423,,,
7356,SondaCO2-ExteriorEduardoLatorre,2022-02-16T10:44:02.497Z,,,,,420,,,
7357,Particulas-Oliver,2022-02-16T10:45:45.268Z,,,,,,12,6,2
7358,Particulas-CantoPinyo,2022-02-16T10:45:47.105Z,,,,,,3,3,1
7359,Particulas-GilAlbert,2022-02-16T10:45:46.644Z,,,,,,4,4,0
7360,Particulas-ZonaNortePolideportivo,2022-02-16T10:45:47.664Z,,,,,,7,7,11
7361,SondaCO2-ExteriorEduardoLatorre,2022-02-16T10:46:03.858Z,,,,,421,,,
7362,Gases-CantoPinyo,2022-02-16T10:46:15.742Z,12.610675,31.307018,0,183.88829,,,,
7363,SondaCO2-ExteriorEduardoLatorre,2022-02-16T10:48:09.731Z,,,,,420,,,
7364,Gases-ZonaNortePolideportivo,2022-02-16T10:50:16.933Z,0,93.46457,0,128.44966,,,,
7365,SondaCO2-ExteriorEduardoLatorre,2022-02-16T10:50:14.23Z,,,,,426,,,
7366,Gases-ZonaNortePolideportivo,2022-02-16T10:50:15.517Z,0,92.31505,0,116.713684,,,,
7367,SondaCO2-ExteriorEduardoLatorre,2022-02-16T10:52:08.37Z,,,,,429,,,
7368,SondaCO2-ExteriorEduardoLatorre,2022-02-16T10:54:08.532Z,,,,,430,,,
7369,SondaCO2-ExteriorEduardoLatorre,2022-02-16T10:56:10.822Z,,,,,427,,,
7370,SondaCO2-ExteriorEduardoLatorre,2022-02-16T10:58:12.794Z,,,,,423,,,
7371,Gases-GilAlbert,2022-02-16T10:58:16.322Z,11.1239395,27.052135,0,179.28075,,,,
7372,SondaCO2-ExteriorEduardoLatorre,2022-02-16T11:00:30.764Z,,,,,425,,,
7373,Particulas-Oliver,2022-02-16T11:00:45.393Z,,,,,,6,3,2
7374,Particulas-CantoPinyo,2022-02-16T11:00:47.656Z,,,,,,4,4,0
7375,Particulas-ZonaNortePolideportivo,2022-02-16T11:00:46.749Z,,,,,,13,12,8
