Timestamp,Autobus,Flota,EstadoSensores
"06/12/2023 21:31:33","346","EMTUSA","11"
"06/12/2023 21:32:58","370","EMTUSA","11"
"07/12/2023 06:47:38","364","EMTUSA","11"
"07/12/2023 06:48:52","363","EMTUSA","10"
"07/12/2023 06:57:00","366","EMTUSA","11"
"07/12/2023 06:57:44","403","EMTUSA","11"
"07/12/2023 07:02:52","363","EMTUSA","10"
"07/12/2023 07:03:18","382","EMTUSA","11"
"07/12/2023 07:03:39","333","EMTUSA","00"
"07/12/2023 07:17:29","394","EMTUSA","11"
"07/12/2023 07:17:47","404","EMTUSA","11"
"07/12/2023 07:18:14","335","EMTUSA","00"
"07/12/2023 07:18:36","408","EMTUSA","00"
"07/12/2023 07:20:01","377","EMTUSA","11"
"07/12/2023 07:27:53","352","EMTUSA","11"
"07/12/2023 07:34:48","363","EMTUSA","10"
"07/12/2023 07:49:41","386","EMTUSA","11"
"07/12/2023 08:01:47","377","EMTUSA","11"
"07/12/2023 08:40:49","363","EMTUSA","11"
"07/12/2023 09:22:21","363","EMTUSA","11"
"07/12/2023 10:32:44","363","EMTUSA","11"
"07/12/2023 10:02:34","363","EMTUSA","10"
"07/12/2023 07:06:13","347","EMTUSA","11"
"07/12/2023 07:08:12","388","EMTUSA","11"
"07/12/2023 07:09:58","362","EMTUSA","11"
"07/12/2023 07:10:03","402","EMTUSA","11"
"07/12/2023 07:27:11","396","EMTUSA","11"
"07/12/2023 07:30:49","368","EMTUSA","11"
"07/12/2023 04:55:48","409","EMTUSA","00"
"07/12/2023 04:56:06","359","EMTUSA","11"
"07/12/2023 06:37:31","357","EMTUSA","11"
"07/12/2023 06:37:59","381","EMTUSA","11"
"07/12/2023 11:24:59","363","EMTUSA","11"
"07/12/2023 12:44:30","363","EMTUSA","10"
"06/12/2023 22:22:54","363","EMTUSA","01"
"06/12/2023 22:24:12","381","EMTUSA","11"
"06/12/2023 22:27:49","363","EMTUSA","00"
"06/12/2023 22:28:45","344","EMTUSA","11"
"06/12/2023 22:28:48","343","EMTUSA","11"
"06/12/2023 22:29:27","338","EMTUSA","00"
"06/12/2023 22:29:49","363","EMTUSA","11"
"06/12/2023 22:31:49","363","EMTUSA","01"
"07/12/2023 05:22:47","356","EMTUSA","11"
"07/12/2023 05:24:13","400","EMTUSA","11"
"07/12/2023 05:24:15","363","EMTUSA","11"
"07/12/2023 05:44:43","363","EMTUSA","10"
"07/12/2023 05:59:17","391","EMTUSA","11"
"07/12/2023 06:40:05","358","EMTUSA","11"
"07/12/2023 06:40:09","340","EMTUSA","00"
"07/12/2023 06:42:53","373","EMTUSA","11"
"07/12/2023 08:13:03","363","EMTUSA","11"
"07/12/2023 08:14:16","363","EMTUSA","10"
"07/12/2023 08:16:27","363","EMTUSA","11"
"07/12/2023 08:38:29","363","EMTUSA","10"
"07/12/2023 08:48:48","363","EMTUSA","11"
"07/12/2023 12:02:45","363","EMTUSA","10"
"07/12/2023 07:25:01","379","EMTUSA","11"
"07/12/2023 06:15:52","385","EMTUSA","11"
"07/12/2023 06:16:47","393","EMTUSA","11"
"07/12/2023 06:20:12","363","EMTUSA","10"
"07/12/2023 06:20:47","363","EMTUSA","11"
"07/12/2023 06:50:36","372","EMTUSA","11"
"07/12/2023 06:50:49","353","EMTUSA","11"
"07/12/2023 06:52:52","350","EMTUSA","11"
"07/12/2023 06:54:45","363","EMTUSA","11"
"07/12/2023 07:00:48","367","EMTUSA","11"
"07/12/2023 07:04:01","365","EMTUSA","11"
"07/12/2023 07:04:31","363","EMTUSA","11"
"07/12/2023 07:06:05","398","EMTUSA","11"
"07/12/2023 07:09:25","401","EMTUSA","11"
"07/12/2023 07:19:01","334","EMTUSA","00"
"07/12/2023 07:20:49","399","EMTUSA","11"
"07/12/2023 03:27:03","363","EMTUSA","11"
