FID,featureid,sensorid,phenomenon_time,battery_voltage,humidity,temperature,no_we,no_aux,no2_we,no2_aux,ox_we,ox_aux,co_aux,co_we,no_concentration,no2_concentration,ox_concentration,co_concentration
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6e5ac7_7ef5,83,4017,2019-07-31T02:15:09.07,6.087,54.03761292,18,317.04711914,4.57763672,240.78369141,19.77539062,220.36743164,-7.23266602,43.76220703,389.9230957,5.78905618,49.02274244,8.09161984,103.91601562
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6e5ac7_7ef6,83,4017,2019-07-31T00:25:14.169,6.09,53.45777893,19,316.31469727,0.82397461,239.13574219,19.68383789,222.01538086,-5.5847168,52.00195312,395.41625977,-0.28483073,48.696932,12.9101848,122.2265625
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6e5ac7_7ef7,83,4017,2019-07-30T23:55:14.089,6.091,52.10928345,19,322.5402832,6.77490234,239.04418945,18.76831055,221.55761719,-4.57763672,51.36108398,394.31762695,9.34450217,45.43882757,15.8548634,120.80240885
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6e5ac7_7ef8,83,4017,2019-07-30T23:45:13.51,6.087,51.12509155,19,328.49121094,12.35961914,236.38916016,16.02172852,218.90258789,-8.05664062,51.54418945,393.21899414,18.38126075,35.66451429,5.68233735,121.2093099
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6e5ac7_7ef9,83,4017,2019-07-30T23:35:13.845,6.091,51.07168579,19,316.04003906,1.00708008,241.60766602,22.15576172,222.29003906,-4.85229492,52.18505859,394.95849609,0.01145644,57.49381395,15.05176923,122.63346354
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6e5ac7_7efa,83,4017,2019-07-30T22:55:07.732,6.089,46.68669128,20,320.15991211,4.21142578,238.76953125,19.68383789,224.12109375,-2.28881836,53.64990234,394.59228516,5.19648185,48.696932,22.54731474,125.88867188
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6e5ac7_7efb,83,4017,2019-07-30T22:45:12.717,6.091,45.51557922,20,319.6105957,1.73950195,238.12866211,19.22607422,224.21264648,-2.83813477,53.19213867,393.40209961,1.1966051,47.06787978,20.94112642,124.87141927
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6e5ac7_7efc,83,4017,2019-07-30T19:35:10.477,6.091,33.68048096,26,331.42089844,1.92260742,235.38208008,18.67675781,223.84643555,-0.18310547,48.98071289,388.91601562,1.49289227,45.11301713,28.70436997,115.51269531
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6e5ac7_7efd,83,4017,2019-07-30T18:55:11.526,6.092,31.55187988,27,337.28027344,2.28881836,235.29052734,19.04296875,223.57177734,0.18310547,47.97363281,389.3737793,2.0854666,46.4162589,29.77516219,113.27473958
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6e5ac7_7efe,83,4017,2019-07-30T18:45:09.232,6.092,31.13035583,27,335.54077148,0.2746582,235.19897461,19.22607422,224.76196289,1.00708008,47.79052734,389.6484375,-1.17369223,47.06787978,32.18444467,112.86783854
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6e5ac7_7eff,83,4017,2019-07-30T18:05:11.425,6.094,29.33363342,29,341.58325195,0.73242188,232.45239258,17.8527832,225.8605957,2.9296875,45.59326172,388.91601562,-0.43297431,42.18072314,37.8061038,107.98502604
