Calle ,Nº,Latitud,Longitud
Albades,12,39.4410232,-0.4680517
Albades,6,39.4405546,-0.4679645
Albades,8 y 10,39.4407284,-0.4680279
Alfafar,2,39.4398392,-0.4696962
Joan XXIII,1,39.440514, -0.466794
Joan XXIII,7,39.4410159,-0.4670671
Maestro Manuel Mera,Residencia,39.440371,-0.4689622
Malvarrosa,Colegio,39.441215, -0.466200
Quart de Poblet,20,39.4404139,-0.4697992
Valencia ,104,39.4395169,-0.4698139
Valencia ,70,39.4403132,-0.4673906
Valencia,30,39.4408973,-0.4647540
Valencia,16,39.4411652,-0.4636676
