id;recvtime;fiwareservicepath;entitytype;entityid;laeq;laeq_d;laeq_den;laeq_e;laeq_n;dateobserved
3;2020-09-20T00:00:31+00:00;/sonometros;NoiseLevelObserved;T248671-daily;60.2;60.8;64.7;63.2;57.1;2020-09-19
4;2020-09-21T00:00:33+00:00;/sonometros;NoiseLevelObserved;T248671-daily;57.9;58.1;63.6;59.3;57.1;2020-09-20
6;2020-09-23T00:00:39+00:00;/sonometros;NoiseLevelObserved;T248671-daily;61.0;62.8;63.0;59.9;52.6;2020-09-22
8;2020-09-25T00:00:46+00:00;/sonometros;NoiseLevelObserved;T248671-daily;60.9;62.7;62.8;59.7;52.5;2020-09-24
10;2020-09-27T00:00:51+00:00;/sonometros;NoiseLevelObserved;T248671-daily;60.9;62.1;64.5;61.3;56.6;2020-09-26
12;2020-09-29T00:00:56+00:00;/sonometros;NoiseLevelObserved;T248671-daily;60.8;62.5;62.8;61.1;52.0;2020-09-28
14;2020-10-01T00:00:03+00:00;/sonometros;NoiseLevelObserved;T248671-daily;64.0;66.1;65.4;60.3;53.8;2020-09-30
16;2020-10-03T00:00:11+00:00;/sonometros;NoiseLevelObserved;T248671-daily;61.2;62.6;64.7;61.9;56.4;2020-10-02
19;2020-10-06T00:00:17+00:00;/sonometros;NoiseLevelObserved;T248671-daily;60.1;61.8;62.5;59.3;53.1;2020-10-05
21;2020-10-08T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248671-daily;60.8;62.5;63.2;60.6;53.4;2020-10-07
24;2020-10-11T00:00:28+00:00;/sonometros;NoiseLevelObserved;T248671-daily;59.7;60.5;64.4;61.2;57.2;2020-10-10
26;2020-10-13T00:00:33+00:00;/sonometros;NoiseLevelObserved;T248671-daily;57.9;59.2;61.5;58.8;53.3;2020-10-12
27;2020-10-14T00:00:36+00:00;/sonometros;NoiseLevelObserved;T248671-daily;60.5;62.2;63.2;59.8;54.1;2020-10-13
29;2020-10-16T00:00:44+00:00;/sonometros;NoiseLevelObserved;T248671-daily;60.3;62.0;62.9;59.6;53.7;2020-10-15
31;2020-10-18T00:00:49+00:00;/sonometros;NoiseLevelObserved;T248671-daily;62.5;63.9;66.2;62.4;58.3;2020-10-17
