id;recvtime;fiwareservicepath;entitytype;entityid;laeq;laeq_d;laeq_den;laeq_e;laeq_n;dateobserved
4;2020-11-21T00:00:39+00:00;/sonometros;NoiseLevelObserved;T248655-daily;65.0;66.4;68.1;66.3;59.2;2020-11-20
11;2020-09-19T00:00:23+00:00;/sonometros;NoiseLevelObserved;T248655-daily;64.7;66.2;67.7;65.1;59.0;2020-09-18
14;2020-09-22T00:00:30+00:00;/sonometros;NoiseLevelObserved;T248655-daily;64.4;66.2;66.7;63.4;57.0;2020-09-21
15;2020-09-23T00:00:32+00:00;/sonometros;NoiseLevelObserved;T248655-daily;65.3;67.1;67.4;63.2;57.6;2020-09-22
16;2020-09-24T00:00:35+00:00;/sonometros;NoiseLevelObserved;T248655-daily;65.4;67.1;67.5;64.4;57.7;2020-09-23
17;2020-09-25T00:00:38+00:00;/sonometros;NoiseLevelObserved;T248655-daily;65.6;67.5;67.7;63.2;58.0;2020-09-24
26;2020-10-04T00:00:58+00:00;/sonometros;NoiseLevelObserved;T248655-daily;63.4;64.2;68.1;64.3;61.0;2020-10-03
32;2020-10-10T00:00:15+00:00;/sonometros;NoiseLevelObserved;T248655-daily;62.0;62.9;66.5;63.2;59.2;2020-10-09
33;2020-10-11T00:00:16+00:00;/sonometros;NoiseLevelObserved;T248655-daily;62.9;63.9;67.2;63.4;59.9;2020-10-10
35;2020-10-13T00:00:20+00:00;/sonometros;NoiseLevelObserved;T248655-daily;61.7;62.9;65.4;63.1;57.4;2020-10-12
38;2020-10-16T00:00:45+00:00;/sonometros;NoiseLevelObserved;T248655-daily;64.4;66.3;67.0;61.7;58.0;2020-10-15
39;2020-10-17T00:00:46+00:00;/sonometros;NoiseLevelObserved;T248655-daily;64.6;66.0;67.6;65.3;58.8;2020-10-16
43;2020-10-21T00:00:55+00:00;/sonometros;NoiseLevelObserved;T248655-daily;66.7;68.7;68.5;63.5;58.0;2020-10-20
45;2020-10-23T00:00:01+00:00;/sonometros;NoiseLevelObserved;T248655-daily;65.5;67.2;68.1;63.6;59.3;2020-10-22
48;2020-10-26T00:00:09+00:00;/sonometros;NoiseLevelObserved;T248655-daily;62.8;64.2;66.5;63.1;58.3;2020-10-25
52;2020-10-30T00:00:17+00:00;/sonometros;NoiseLevelObserved;T248655-daily;67.0;68.9;69.0;63.8;59.2;2020-10-29
56;2020-11-03T00:00:25+00:00;/sonometros;NoiseLevelObserved;T248655-daily;67.5;69.4;68.9;66.1;57.0;2020-11-02
58;2020-11-05T00:00:30+00:00;/sonometros;NoiseLevelObserved;T248655-daily;64.9;66.3;67.8;65.6;59.0;2020-11-04
61;2020-11-08T00:00:38+00:00;/sonometros;NoiseLevelObserved;T248655-daily;64.4;65.6;68.4;65.0;60.7;2020-11-07
64;2020-11-11T00:00:43+00:00;/sonometros;NoiseLevelObserved;T248655-daily;64.9;66.6;67.5;64.6;58.2;2020-11-10
66;2020-11-13T00:00:47+00:00;/sonometros;NoiseLevelObserved;T248655-daily;64.1;65.7;67.0;63.8;58.2;2020-11-12
67;2020-11-14T00:00:49+00:00;/sonometros;NoiseLevelObserved;T248655-daily;65.0;66.5;68.2;65.1;59.8;2020-11-13
70;2020-11-17T00:00:57+00:00;/sonometros;NoiseLevelObserved;T248655-daily;63.8;65.5;66.3;63.0;57.1;2020-11-16
72;2020-11-28T00:00:54+00:00;/sonometros;NoiseLevelObserved;T248655-daily;69.1;71.1;70.6;65.3;59.6;2020-11-27
80;2020-12-06T00:00:15+00:00;/sonometros;NoiseLevelObserved;T248655-daily;74.4;76.6;74.9;65.2;59.6;2020-12-05
