id;recvtime;fiwareservicepath;entitytype;entityid;laeq;laeq_d;laeq_den;laeq_e;laeq_n;dateobserved
6;2020-12-01T00:01:25+00:00;/sonometros;NoiseLevelObserved;T251234-daily;60.3;62.4;61.1;53.2;48.4;2020-11-30
8;2020-12-03T00:00:19+00:00;/sonometros;NoiseLevelObserved;T251234-daily;59.4;61.2;61.2;59.3;49.8;2020-12-02
9;2020-12-04T00:00:08+00:00;/sonometros;NoiseLevelObserved;T251234-daily;58.0;59.8;59.8;57.2;48.9;2020-12-03
13;2020-12-08T00:00:10+00:00;/sonometros;NoiseLevelObserved;T251234-daily;60.3;61.9;62.7;61.3;52.5;2020-12-07
15;2020-12-10T00:01:13+00:00;/sonometros;NoiseLevelObserved;T251234-daily;55.4;57.1;57.7;56.3;47.1;2020-12-09
17;2020-12-12T00:00:56+00:00;/sonometros;NoiseLevelObserved;T251234-daily;59.9;60.1;64.1;64.8;55.4;2020-12-11
18;2020-12-13T00:00:58+00:00;/sonometros;NoiseLevelObserved;T251234-daily;64.4;65.4;67.2;68.5;56.0;2020-12-12
19;2020-12-14T00:00:59+00:00;/sonometros;NoiseLevelObserved;T251234-daily;57.7;59.5;59.9;57.1;50.0;2020-12-13
22;2020-12-17T00:00:04+00:00;/sonometros;NoiseLevelObserved;T251234-daily;55.2;56.6;58.4;55.4;50.1;2020-12-16
24;2020-12-19T00:00:08+00:00;/sonometros;NoiseLevelObserved;T251234-daily;59.7;60.4;63.1;64.0;53.4;2020-12-18
25;2020-12-20T00:00:12+00:00;/sonometros;NoiseLevelObserved;T251234-daily;63.5;64.3;66.9;67.9;57.1;2020-12-19
26;2020-12-21T00:00:11+00:00;/sonometros;NoiseLevelObserved;T251234-daily;60.0;60.9;63.2;64.2;53.0;2020-12-20
32;2020-12-27T00:00:19+00:00;/sonometros;NoiseLevelObserved;T251234-daily;62.2;62.9;64.5;67.7;46.0;2020-12-26
33;2020-12-28T00:00:21+00:00;/sonometros;NoiseLevelObserved;T251234-daily;57.3;58.0;59.8;62.7;44.1;2020-12-27
34;2020-12-29T00:00:51+00:00;/sonometros;NoiseLevelObserved;T251234-daily;57.5;59.6;59.3;57.8;47.1;2020-12-28
36;2020-12-31T00:00:53+00:00;/sonometros;NoiseLevelObserved;T251234-daily;57.5;59.1;59.6;58.6;48.6;2020-12-30
39;2021-01-03T00:00:57+00:00;/sonometros;NoiseLevelObserved;T251234-daily;59.2;61.0;60.4;60.0;44.5;2021-01-02
40;2021-01-04T00:00:59+00:00;/sonometros;NoiseLevelObserved;T251234-daily;58.1;60.1;59.0;56.8;43.5;2021-01-03
42;2021-01-06T00:00:01+00:00;/sonometros;NoiseLevelObserved;T251234-daily;56.0;57.3;58.1;59.0;45.9;2021-01-05
45;2021-01-09T00:00:05+00:00;/sonometros;NoiseLevelObserved;T251234-daily;55.3;57.3;57.0;53.1;46.0;2021-01-08
53;2021-01-17T00:00:16+00:00;/sonometros;NoiseLevelObserved;T251234-daily;59.5;61.6;60.1;56.5;42.9;2021-01-16
54;2021-01-18T00:00:17+00:00;/sonometros;NoiseLevelObserved;T251234-daily;52.9;54.9;53.7;50.5;39.0;2021-01-17
56;2021-01-20T00:00:20+00:00;/sonometros;NoiseLevelObserved;T251234-daily;59.3;61.5;59.8;52.7;44.4;2021-01-19
57;2021-01-21T00:00:21+00:00;/sonometros;NoiseLevelObserved;T251234-daily;58.3;60.5;58.8;51.3;43.3;2021-01-20
58;2021-01-22T00:00:23+00:00;/sonometros;NoiseLevelObserved;T251234-daily;57.6;59.8;58.2;49.7;43.6;2021-01-21
59;2021-01-23T00:00:24+00:00;/sonometros;NoiseLevelObserved;T251234-daily;55.3;57.3;56.3;54.8;39.7;2021-01-22
63;2021-01-27T00:00:31+00:00;/sonometros;NoiseLevelObserved;T251234-daily;56.6;58.7;57.3;50.9;43.4;2021-01-26
67;2021-01-31T00:00:37+00:00;/sonometros;NoiseLevelObserved;T251234-daily;53.4;55.4;54.8;50.5;43.2;2021-01-30
68;2021-02-01T00:00:39+00:00;/sonometros;NoiseLevelObserved;T251234-daily;55.1;57.1;56.1;53.1;42.2;2021-01-31
69;2021-02-02T00:01:41+00:00;/sonometros;NoiseLevelObserved;T251234-daily;57.9;59.8;59.4;57.1;47.4;2021-02-01
70;2021-02-03T00:00:43+00:00;/sonometros;NoiseLevelObserved;T251234-daily;54.4;56.6;55.5;49.2;43.1;2021-02-02
71;2021-02-04T00:00:44+00:00;/sonometros;NoiseLevelObserved;T251234-daily;55.1;57.3;56.1;49.7;43.0;2021-02-03
72;2021-02-05T00:00:46+00:00;/sonometros;NoiseLevelObserved;T251234-daily;55.0;56.8;56.6;55.2;44.2;2021-02-04
75;2021-02-08T00:12:34+00:00;/sonometros;NoiseLevelObserved;T251234-daily;55.6;57.8;56.4;50.6;42.4;2021-02-07
76;2021-02-09T00:00:51+00:00;/sonometros;NoiseLevelObserved;T251234-daily;56.5;58.5;58.1;54.0;47.0;2021-02-08
77;2021-02-10T00:00:53+00:00;/sonometros;NoiseLevelObserved;T251234-daily;54.1;55.9;55.9;55.0;43.7;2021-02-09
83;2021-02-16T00:00:19+00:00;/sonometros;NoiseLevelObserved;T251234-daily;60.3;62.5;61.2;49.7;48.8;2021-02-15
85;2021-02-18T00:00:20+00:00;/sonometros;NoiseLevelObserved;T251234-daily;55.5;57.5;57.2;50.3;46.9;2021-02-17
88;2021-02-21T00:00:14+00:00;/sonometros;NoiseLevelObserved;T251234-daily;55.1;57.0;56.4;52.8;44.4;2021-02-20
89;2021-02-22T00:00:23+00:00;/sonometros;NoiseLevelObserved;T251234-daily;54.1;56.2;55.2;50.0;42.5;2021-02-21
90;2021-02-23T00:00:17+00:00;/sonometros;NoiseLevelObserved;T251234-daily;57.2;59.2;59.2;49.2;50.0;2021-02-22
94;2021-02-27T00:00:20+00:00;/sonometros;NoiseLevelObserved;T251234-daily;55.9;57.9;57.2;53.9;44.6;2021-02-26
