id;recvtime;fiwareservicepath;entitytype;entityid;laeq;laeq_d;laeq_den;laeq_e;laeq_n;dateobserved
2;2020-11-19T00:00:10+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.4;61.1;61.6;59.4;51.5;2020-11-18
3;2020-11-21T00:00:17+00:00;/sonometros;NoiseLevelObserved;T248670-daily;62.0;61.8;65.3;64.1;60.5;2020-11-20
4;2020-11-22T00:00:04+00:00;/sonometros;NoiseLevelObserved;T248670-daily;63.2;62.2;67.6;70.6;57.1;2020-11-21
7;2020-11-25T00:01:50+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.5;61.1;61.9;59.0;52.5;2020-11-24
8;2020-11-26T00:00:54+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.6;61.3;61.8;59.0;51.8;2020-11-25
9;2020-09-18T12:40:17+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.0;61.3;63.5;61.7;55.0;2020-09-17
10;2020-09-19T00:00:33+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.0;61.0;64.2;61.8;56.5;2020-09-18
11;2020-09-20T00:00:35+00:00;/sonometros;NoiseLevelObserved;T248670-daily;61.9;62.5;66.6;64.7;59.1;2020-09-19
13;2020-10-14T00:00:53+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.2;60.8;64.2;60.0;58.3;2020-10-13
14;2020-10-16T00:00:54+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.4;59.9;62.0;58.4;57.0;2020-10-15
15;2020-10-17T00:00:56+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.6;61.3;64.5;64.4;56.0;2020-10-16
22;2020-10-24T00:00:12+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.5;61.4;64.2;63.4;55.7;2020-10-23
26;2020-10-28T00:00:22+00:00;/sonometros;NoiseLevelObserved;T248670-daily;58.9;60.6;61.0;59.1;50.5;2020-10-27
28;2020-10-30T00:00:24+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.8;61.5;62.3;60.3;52.4;2020-10-29
30;2020-11-01T00:00:28+00:00;/sonometros;NoiseLevelObserved;T248670-daily;61.6;62.4;65.1;65.4;56.0;2020-10-31
39;2020-11-10T00:00:48+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.3;61.9;62.2;62.1;50.0;2020-11-09
40;2020-11-11T00:00:50+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.2;61.0;61.5;58.1;51.8;2020-11-10
42;2020-11-13T00:00:54+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.7;61.2;62.5;60.4;53.3;2020-11-12
43;2020-11-14T00:00:57+00:00;/sonometros;NoiseLevelObserved;T248670-daily;62.3;63.8;64.7;63.9;54.5;2020-11-13
47;2020-11-27T00:00:55+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.4;61.1;61.9;59.4;52.4;2020-11-26
49;2020-11-29T00:00:00+00:00;/sonometros;NoiseLevelObserved;T248670-daily;62.6;63.5;65.9;66.0;56.6;2020-11-28
54;2020-12-04T00:01:10+00:00;/sonometros;NoiseLevelObserved;T248670-daily;74.6;76.9;74.7;61.8;51.9;2020-12-03
55;2020-12-05T00:00:12+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.9;61.3;62.8;61.1;53.8;2020-12-04
57;2020-12-07T00:00:16+00:00;/sonometros;NoiseLevelObserved;T248670-daily;56.7;58.0;60.0;57.9;51.5;2020-12-06
58;2020-12-08T00:00:18+00:00;/sonometros;NoiseLevelObserved;T248670-daily;60.3;61.9;62.5;60.3;52.6;2020-12-07
60;2020-12-10T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248670-daily;59.7;61.2;61.9;62.2;50.3;2020-12-09
64;2020-12-14T00:00:27+00:00;/sonometros;NoiseLevelObserved;T248670-daily;58.0;59.6;60.5;58.4;50.9;2020-12-13
