id;recvtime;fiwareservicepath;entitytype;entityid;laeq;laeq_d;laeq_den;laeq_e;laeq_n;dateobserved
1;2020-11-18T13:40:52+00:00;/sonometros;NoiseLevelObserved;T248678-daily;56.9;58.8;58.7;55.8;47.8;2020-11-17
2;2020-11-19T00:00:05+00:00;/sonometros;NoiseLevelObserved;T248678-daily;55.9;57.4;58.4;56.7;48.7;2020-11-18
17;2020-09-25T00:00:35+00:00;/sonometros;NoiseLevelObserved;T248678-daily;56.0;57.4;59.0;57.2;50.0;2020-09-24
26;2020-10-04T00:00:55+00:00;/sonometros;NoiseLevelObserved;T248678-daily;57.1;56.9;62.7;60.9;55.8;2020-10-03
27;2020-10-05T00:00:57+00:00;/sonometros;NoiseLevelObserved;T248678-daily;54.5;54.5;60.9;54.1;54.7;2020-10-04
29;2020-10-07T00:00:06+00:00;/sonometros;NoiseLevelObserved;T248678-daily;56.1;57.7;58.9;55.6;50.1;2020-10-06
30;2020-10-08T00:00:09+00:00;/sonometros;NoiseLevelObserved;T248678-daily;58.2;59.9;60.7;57.1;51.4;2020-10-07
31;2020-10-09T00:00:09+00:00;/sonometros;NoiseLevelObserved;T248678-daily;58.7;59.7;62.3;61.2;53.8;2020-10-08
36;2020-10-14T00:00:18+00:00;/sonometros;NoiseLevelObserved;T248678-daily;56.7;58.4;59.2;55.4;50.1;2020-10-13
41;2020-10-19T00:00:01+00:00;/sonometros;NoiseLevelObserved;T248678-daily;54.6;54.9;60.4;54.7;54.0;2020-10-18
44;2020-10-22T00:00:09+00:00;/sonometros;NoiseLevelObserved;T248678-daily;63.0;65.3;63.7;55.0;49.5;2020-10-21
45;2020-10-23T00:00:09+00:00;/sonometros;NoiseLevelObserved;T248678-daily;57.2;58.7;60.3;57.7;51.7;2020-10-22
49;2020-10-27T00:00:17+00:00;/sonometros;NoiseLevelObserved;T248678-daily;58.4;60.1;60.2;59.8;47.6;2020-10-26
50;2020-10-28T00:00:19+00:00;/sonometros;NoiseLevelObserved;T248678-daily;56.2;58.1;58.0;54.0;47.6;2020-10-27
54;2020-11-01T00:00:27+00:00;/sonometros;NoiseLevelObserved;T248678-daily;57.4;58.2;61.1;61.2;52.2;2020-10-31
56;2020-11-03T00:00:31+00:00;/sonometros;NoiseLevelObserved;T248678-daily;58.4;60.0;60.6;59.1;50.1;2020-11-02
57;2020-11-04T00:00:34+00:00;/sonometros;NoiseLevelObserved;T248678-daily;58.1;60.2;59.4;54.6;47.4;2020-11-03
59;2020-11-06T00:00:37+00:00;/sonometros;NoiseLevelObserved;T248678-daily;62.0;63.3;66.5;54.8;59.7;2020-11-05
65;2020-11-12T00:00:49+00:00;/sonometros;NoiseLevelObserved;T248678-daily;56.7;58.2;59.7;56.9;51.0;2020-11-11
69;2020-11-16T00:00:58+00:00;/sonometros;NoiseLevelObserved;T248678-daily;55.6;57.5;57.5;54.6;46.6;2020-11-15
71;2020-11-27T00:00:55+00:00;/sonometros;NoiseLevelObserved;T248678-daily;56.1;57.9;58.3;54.1;48.8;2020-11-26
73;2020-11-29T00:00:03+00:00;/sonometros;NoiseLevelObserved;T248678-daily;56.7;57.6;60.4;59.7;51.8;2020-11-28
76;2020-12-02T02:05:16+00:00;/sonometros;NoiseLevelObserved;T248678-daily;55.8;57.6;58.1;54.2;48.5;2020-12-01
77;2020-12-03T00:00:10+00:00;/sonometros;NoiseLevelObserved;T248678-daily;55.2;56.9;57.7;54.6;48.3;2020-12-02
79;2020-12-05T00:00:12+00:00;/sonometros;NoiseLevelObserved;T248678-daily;56.5;57.5;60.2;59.4;51.7;2020-12-04
80;2020-12-06T00:00:13+00:00;/sonometros;NoiseLevelObserved;T248678-daily;57.4;57.6;62.8;60.0;56.0;2020-12-05
83;2020-12-09T00:00:18+00:00;/sonometros;NoiseLevelObserved;T248678-daily;54.4;54.8;58.1;59.6;48.5;2020-12-08
84;2020-12-10T00:00:20+00:00;/sonometros;NoiseLevelObserved;T248678-daily;56.3;57.4;58.9;60.0;47.7;2020-12-09
86;2020-12-12T00:00:23+00:00;/sonometros;NoiseLevelObserved;T248678-daily;57.8;58.8;62.3;60.7;53.9;2020-12-11
89;2020-12-15T00:00:29+00:00;/sonometros;NoiseLevelObserved;T248678-daily;58.5;60.3;60.5;57.8;50.2;2020-12-14
90;2020-12-16T00:00:31+00:00;/sonometros;NoiseLevelObserved;T248678-daily;55.9;57.5;58.7;54.5;50.0;2020-12-15
94;2020-12-20T00:00:39+00:00;/sonometros;NoiseLevelObserved;T248678-daily;59.4;60.4;62.5;63.2;52.5;2020-12-19
98;2020-12-24T00:01:00+00:00;/sonometros;NoiseLevelObserved;T248678-daily;57.6;59.4;59.2;56.8;47.9;2020-12-23
100;2020-12-26T02:28:56+00:00;/sonometros;NoiseLevelObserved;T248678-daily;52.3;53.7;54.7;54.5;44.1;2020-12-25
104;2020-12-30T00:00:51+00:00;/sonometros;NoiseLevelObserved;T248678-daily;59.8;61.9;61.1;55.3;49.7;2020-12-29
106;2021-01-01T00:00:54+00:00;/sonometros;NoiseLevelObserved;T248678-daily;58.0;59.4;61.0;58.5;52.3;2020-12-31
113;2021-01-08T00:00:14+00:00;/sonometros;NoiseLevelObserved;T248678-daily;56.4;58.1;59.4;53.9;51.1;2021-01-07
115;2021-01-10T00:00:14+00:00;/sonometros;NoiseLevelObserved;T248678-daily;55.0;56.6;58.3;54.2;50.0;2021-01-09
116;2021-01-11T00:00:12+00:00;/sonometros;NoiseLevelObserved;T248678-daily;54.9;56.9;56.1;53.1;43.3;2021-01-10
127;2021-01-22T00:00:33+00:00;/sonometros;NoiseLevelObserved;T248678-daily;55.4;57.4;56.6;52.0;44.4;2021-01-21
132;2021-01-27T00:00:41+00:00;/sonometros;NoiseLevelObserved;T248678-daily;55.1;57.1;56.6;51.1;45.7;2021-01-26
138;2021-02-02T00:00:54+00:00;/sonometros;NoiseLevelObserved;T248678-daily;54.4;56.2;56.7;51.2;47.5;2021-02-01
139;2021-02-03T00:00:55+00:00;/sonometros;NoiseLevelObserved;T248678-daily;53.6;55.5;55.2;50.4;44.7;2021-02-02
146;2021-02-10T00:00:27+00:00;/sonometros;NoiseLevelObserved;T248678-daily;54.0;56.0;55.5;50.4;44.4;2021-02-09
