id;recvtime;fiwareservicepath;entitytype;entityid;laeq;laeq_d;laeq_den;laeq_e;laeq_n;dateobserved
2;2020-11-19T00:00:47+00:00;/sonometros;NoiseLevelObserved;T248682-daily;59.8;61.5;61.8;60.2;51.0;2020-11-18
4;2020-11-22T00:00:12+00:00;/sonometros;NoiseLevelObserved;T248682-daily;58.7;60.1;62.1;59.1;53.8;2020-11-21
8;2020-11-26T00:00:22+00:00;/sonometros;NoiseLevelObserved;T248682-daily;59.1;60.7;61.8;58.6;52.9;2020-11-25
9;2020-09-18T12:40:17+00:00;/sonometros;NoiseLevelObserved;T248682-daily;62.3;64.3;63.7;59.0;52.1;2020-09-17
15;2020-09-24T00:00:40+00:00;/sonometros;NoiseLevelObserved;T248682-daily;60.7;62.6;62.4;58.4;51.8;2020-09-23
18;2020-09-27T00:00:48+00:00;/sonometros;NoiseLevelObserved;T248682-daily;57.4;58.7;61.3;57.9;53.5;2020-09-26
19;2020-10-14T00:00:41+00:00;/sonometros;NoiseLevelObserved;T248682-daily;58.7;59.6;61.8;57.8;55.1;2020-10-13
21;2020-10-16T00:00:27+00:00;/sonometros;NoiseLevelObserved;T248682-daily;60.4;62.4;62.3;57.6;52.0;2020-10-15
22;2020-10-17T00:00:28+00:00;/sonometros;NoiseLevelObserved;T248682-daily;59.4;61.0;62.0;59.7;52.5;2020-10-16
29;2020-10-24T00:00:46+00:00;/sonometros;NoiseLevelObserved;T248682-daily;59.3;60.9;62.0;58.8;53.1;2020-10-23
30;2020-10-25T00:00:49+00:00;/sonometros;NoiseLevelObserved;T248682-daily;57.9;59.1;61.8;58.6;54.1;2020-10-24
33;2020-10-28T00:00:55+00:00;/sonometros;NoiseLevelObserved;T248682-daily;60.1;62.0;61.6;57.5;50.4;2020-10-27
34;2020-10-29T00:00:57+00:00;/sonometros;NoiseLevelObserved;T248682-daily;60.2;62.2;61.7;57.6;50.2;2020-10-28
38;2020-11-02T00:00:41+00:00;/sonometros;NoiseLevelObserved;T248682-daily;57.4;58.9;60.4;57.7;51.7;2020-11-01
39;2020-11-03T00:00:14+00:00;/sonometros;NoiseLevelObserved;T248682-daily;60.1;62.0;61.8;58.6;50.8;2020-11-02
40;2020-11-04T00:00:14+00:00;/sonometros;NoiseLevelObserved;T248682-daily;62.1;64.1;63.3;58.1;51.4;2020-11-03
