id;recvtime;fiwareservicepath;entitytype;entityid;laeq;laeq_d;laeq_den;laeq_e;laeq_n;dateobserved
4;2020-11-21T00:00:35+00:00;/sonometros;NoiseLevelObserved;T248669-daily;61.2;62.5;64.6;62.5;56.2;2020-11-20
9;2020-11-26T00:00:54+00:00;/sonometros;NoiseLevelObserved;T248669-daily;61.9;63.5;65.0;60.6;56.6;2020-11-25
22;2020-09-30T02:53:11+00:00;/sonometros;NoiseLevelObserved;T248669-daily;59.9;61.5;62.6;59.4;53.6;2020-09-29
24;2020-10-02T00:00:02+00:00;/sonometros;NoiseLevelObserved;T248669-daily;59.8;61.2;63.0;60.2;54.5;2020-10-01
26;2020-10-04T00:00:05+00:00;/sonometros;NoiseLevelObserved;T248669-daily;61.2;62.1;65.3;62.8;57.7;2020-10-03
30;2020-10-08T00:00:14+00:00;/sonometros;NoiseLevelObserved;T248669-daily;60.2;61.5;63.3;61.8;54.4;2020-10-07
38;2020-10-16T00:00:53+00:00;/sonometros;NoiseLevelObserved;T248669-daily;60.1;61.8;62.9;59.0;54.0;2020-10-15
39;2020-10-17T00:00:56+00:00;/sonometros;NoiseLevelObserved;T248669-daily;60.6;61.8;63.8;62.4;55.1;2020-10-16
40;2020-10-18T00:00:58+00:00;/sonometros;NoiseLevelObserved;T248669-daily;61.5;62.3;65.7;64.2;57.9;2020-10-17
41;2020-10-19T00:00:02+00:00;/sonometros;NoiseLevelObserved;T248669-daily;59.2;60.2;63.8;58.4;56.9;2020-10-18
44;2020-10-22T00:00:10+00:00;/sonometros;NoiseLevelObserved;T248669-daily;60.5;62.0;63.4;61.5;54.2;2020-10-21
45;2020-10-23T00:00:12+00:00;/sonometros;NoiseLevelObserved;T248669-daily;61.5;63.0;64.3;62.5;54.9;2020-10-22
53;2020-10-31T00:00:30+00:00;/sonometros;NoiseLevelObserved;T248669-daily;61.7;63.1;64.7;62.5;55.8;2020-10-30
55;2020-11-02T00:00:34+00:00;/sonometros;NoiseLevelObserved;T248669-daily;57.9;59.2;61.0;60.1;51.8;2020-11-01
57;2020-11-04T00:00:40+00:00;/sonometros;NoiseLevelObserved;T248669-daily;60.8;62.6;62.8;59.1;52.8;2020-11-03
59;2020-11-06T00:00:43+00:00;/sonometros;NoiseLevelObserved;T248669-daily;63.7;65.3;67.2;60.2;59.6;2020-11-05
60;2020-11-07T00:00:45+00:00;/sonometros;NoiseLevelObserved;T248669-daily;62.0;63.4;65.0;62.5;56.3;2020-11-06
63;2020-11-10T00:00:52+00:00;/sonometros;NoiseLevelObserved;T248669-daily;60.8;62.7;63.0;58.7;53.3;2020-11-09
64;2020-11-11T00:00:55+00:00;/sonometros;NoiseLevelObserved;T248669-daily;60.2;61.9;62.8;59.8;53.4;2020-11-10
66;2020-11-13T00:00:03+00:00;/sonometros;NoiseLevelObserved;T248669-daily;60.7;62.3;63.2;60.1;53.9;2020-11-12
67;2020-11-14T00:00:03+00:00;/sonometros;NoiseLevelObserved;T248669-daily;61.8;62.9;65.1;64.7;56.0;2020-11-13
73;2020-11-29T00:00:00+00:00;/sonometros;NoiseLevelObserved;T248669-daily;62.1;63.3;65.4;64.7;56.4;2020-11-28
78;2020-12-04T00:00:12+00:00;/sonometros;NoiseLevelObserved;T248669-daily;60.5;62.2;62.8;59.4;53.3;2020-12-03
84;2020-12-10T00:21:35+00:00;/sonometros;NoiseLevelObserved;T248669-daily;60.2;62.0;62.4;58.7;52.8;2020-12-09
85;2020-12-11T00:00:26+00:00;/sonometros;NoiseLevelObserved;T248669-daily;61.3;63.1;63.4;59.6;53.7;2020-12-10
89;2020-12-15T00:00:38+00:00;/sonometros;NoiseLevelObserved;T248669-daily;61.5;63.3;63.9;58.9;54.9;2020-12-14
95;2020-12-21T00:00:52+00:00;/sonometros;NoiseLevelObserved;T248669-daily;58.8;60.4;61.4;59.3;51.8;2020-12-20
97;2020-12-23T00:00:57+00:00;/sonometros;NoiseLevelObserved;T248669-daily;61.4;62.9;63.8;62.7;53.5;2020-12-22
99;2020-12-25T00:00:03+00:00;/sonometros;NoiseLevelObserved;T248669-daily;68.7;64.1;76.7;73.6;70.7;2020-12-24
106;2021-01-01T00:00:56+00:00;/sonometros;NoiseLevelObserved;T248669-daily;60.7;62.3;63.7;59.3;55.2;2020-12-31
108;2021-01-03T00:00:02+00:00;/sonometros;NoiseLevelObserved;T248669-daily;60.3;62.0;62.8;60.1;53.3;2021-01-02
112;2021-01-07T00:00:09+00:00;/sonometros;NoiseLevelObserved;T248669-daily;60.4;62.2;62.7;58.6;53.2;2021-01-06
116;2021-01-11T00:00:18+00:00;/sonometros;NoiseLevelObserved;T248669-daily;58.3;60.1;60.0;58.8;47.8;2021-01-10
118;2021-01-13T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248669-daily;61.7;63.7;63.3;57.6;52.6;2021-01-12
121;2021-01-16T00:00:27+00:00;/sonometros;NoiseLevelObserved;T248669-daily;61.9;63.9;63.1;58.7;50.9;2021-01-15
123;2021-01-18T00:00:31+00:00;/sonometros;NoiseLevelObserved;T248669-daily;57.5;59.3;59.5;57.1;49.0;2021-01-17
125;2021-01-20T00:01:34+00:00;/sonometros;NoiseLevelObserved;T248669-daily;60.2;62.0;62.0;59.3;51.2;2021-01-19
127;2021-01-22T00:00:40+00:00;/sonometros;NoiseLevelObserved;T248669-daily;61.4;63.4;62.9;57.8;52.0;2021-01-21
131;2021-01-26T00:00:49+00:00;/sonometros;NoiseLevelObserved;T248669-daily;60.6;62.7;61.8;56.5;49.8;2021-01-25
134;2021-01-29T00:00:55+00:00;/sonometros;NoiseLevelObserved;T248669-daily;59.6;61.5;61.2;57.1;50.2;2021-01-28
136;2021-01-31T00:00:16+00:00;/sonometros;NoiseLevelObserved;T248669-daily;59.2;61.2;60.5;56.5;48.5;2021-01-30
143;2021-02-07T00:00:17+00:00;/sonometros;NoiseLevelObserved;T248669-daily;58.3;60.1;60.5;57.7;50.3;2021-02-06
147;2021-02-11T00:00:25+00:00;/sonometros;NoiseLevelObserved;T248669-daily;59.4;60.9;61.6;61.4;50.4;2021-02-10
149;2021-02-13T00:00:30+00:00;/sonometros;NoiseLevelObserved;T248669-daily;59.5;61.4;61.1;57.6;50.0;2021-02-12
151;2021-02-15T00:00:34+00:00;/sonometros;NoiseLevelObserved;T248669-daily;58.8;60.5;61.3;58.5;51.7;2021-02-14
152;2021-02-16T00:00:36+00:00;/sonometros;NoiseLevelObserved;T248669-daily;60.6;62.4;63.0;57.0;54.0;2021-02-15
156;2021-03-06T00:00:18+00:00;/sonometros;NoiseLevelObserved;T248669-daily;60.9;62.7;63.1;59.8;53.3;2021-03-05
157;2021-03-07T00:00:20+00:00;/sonometros;NoiseLevelObserved;T248669-daily;61.0;62.8;62.5;60.3;50.7;2021-03-06
160;2021-03-10T00:00:26+00:00;/sonometros;NoiseLevelObserved;T248669-daily;62.7;64.8;63.7;57.8;51.3;2021-03-09
164;2021-03-14T00:00:33+00:00;/sonometros;NoiseLevelObserved;T248669-daily;64.2;62.8;67.9;72.5;50.3;2021-03-13
165;2021-03-15T00:00:36+00:00;/sonometros;NoiseLevelObserved;T248669-daily;67.7;70.0;68.0;57.4;49.1;2021-03-14
168;2021-03-18T00:00:43+00:00;/sonometros;NoiseLevelObserved;T248669-daily;61.0;62.9;62.8;59.3;52.2;2021-03-17
172;2021-03-22T00:00:51+00:00;/sonometros;NoiseLevelObserved;T248669-daily;57.7;59.4;59.8;58.4;49.1;2021-03-21
173;2021-03-23T00:00:53+00:00;/sonometros;NoiseLevelObserved;T248669-daily;60.4;62.3;61.8;57.2;50.8;2021-03-22
177;2021-03-27T00:00:22+00:00;/sonometros;NoiseLevelObserved;T248669-daily;60.9;62.7;62.8;60.4;52.0;2021-03-26
179;2021-03-29T00:00:09+00:00;/sonometros;NoiseLevelObserved;T248669-daily;58.4;60.0;60.2;58.5;49.1;2021-03-28
182;2021-04-01T00:00:16+00:00;/sonometros;NoiseLevelObserved;T248669-daily;60.3;62.1;62.4;59.1;52.4;2021-03-31
186;2021-04-05T00:00:13+00:00;/sonometros;NoiseLevelObserved;T248669-daily;57.7;59.4;59.7;58.6;48.4;2021-04-04
188;2021-04-07T00:00:17+00:00;/sonometros;NoiseLevelObserved;T248669-daily;60.1;61.8;62.3;59.0;52.7;2021-04-06
189;2021-04-08T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248669-daily;62.0;64.0;63.6;59.8;52.2;2021-04-07
