id;recvtime;fiwareservicepath;entitytype;entityid;laeq;laeq_d;laeq_den;laeq_e;laeq_n;dateobserved
1;2020-11-18T13:40:52+00:00;/sonometros;NoiseLevelObserved;T248661-daily;57.1;59.2;57.9;52.8;44.1;2020-11-17
4;2020-11-22T00:00:39+00:00;/sonometros;NoiseLevelObserved;T248661-daily;53.3;54.7;56.4;54.3;47.6;2020-11-21
8;2020-11-26T00:00:49+00:00;/sonometros;NoiseLevelObserved;T248661-daily;55.8;57.8;57.4;53.1;46.5;2020-11-25
12;2020-09-21T00:00:56+00:00;/sonometros;NoiseLevelObserved;T248661-daily;52.3;53.6;56.4;50.3;49.1;2020-09-20
13;2020-09-22T00:00:58+00:00;/sonometros;NoiseLevelObserved;T248661-daily;55.0;56.9;56.5;53.1;45.1;2020-09-21
15;2020-09-24T00:00:06+00:00;/sonometros;NoiseLevelObserved;T248661-daily;54.6;56.4;56.6;54.3;45.9;2020-09-23
19;2020-09-28T00:00:15+00:00;/sonometros;NoiseLevelObserved;T248661-daily;51.1;52.2;55.2;51.8;47.6;2020-09-27
21;2020-09-30T01:27:24+00:00;/sonometros;NoiseLevelObserved;T248661-daily;54.5;56.0;57.1;55.8;47.4;2020-09-29
22;2020-10-01T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248661-daily;55.3;57.1;57.4;55.0;46.9;2020-09-30
24;2020-10-03T00:00:26+00:00;/sonometros;NoiseLevelObserved;T248661-daily;54.9;56.5;57.5;55.5;48.0;2020-10-02
25;2020-10-04T00:00:30+00:00;/sonometros;NoiseLevelObserved;T248661-daily;54.7;56.1;58.0;54.2;49.8;2020-10-03
26;2020-10-05T00:00:33+00:00;/sonometros;NoiseLevelObserved;T248661-daily;53.0;54.4;56.6;52.1;48.8;2020-10-04
29;2020-10-08T00:00:40+00:00;/sonometros;NoiseLevelObserved;T248661-daily;56.6;58.4;58.5;55.6;48.0;2020-10-07
32;2020-10-11T00:00:47+00:00;/sonometros;NoiseLevelObserved;T248661-daily;53.9;55.3;57.0;54.8;48.2;2020-10-10
33;2020-10-12T00:00:49+00:00;/sonometros;NoiseLevelObserved;T248661-daily;51.2;52.1;55.6;52.0;48.3;2020-10-11
34;2020-10-13T00:01:51+00:00;/sonometros;NoiseLevelObserved;T248661-daily;51.9;53.5;54.6;51.3;45.7;2020-10-12
35;2020-10-14T00:00:54+00:00;/sonometros;NoiseLevelObserved;T248661-daily;54.8;56.8;56.5;52.0;45.8;2020-10-13
37;2020-10-16T00:00:00+00:00;/sonometros;NoiseLevelObserved;T248661-daily;55.7;57.7;57.1;53.9;45.2;2020-10-15
39;2020-10-18T00:00:19+00:00;/sonometros;NoiseLevelObserved;T248661-daily;54.2;55.0;59.0;55.8;51.8;2020-10-17
44;2020-10-23T00:00:17+00:00;/sonometros;NoiseLevelObserved;T248661-daily;55.3;57.1;57.4;53.6;47.7;2020-10-22
46;2020-10-25T00:00:23+00:00;/sonometros;NoiseLevelObserved;T248661-daily;53.6;54.7;57.7;54.9;50.1;2020-10-24
48;2020-10-27T00:00:25+00:00;/sonometros;NoiseLevelObserved;T248661-daily;54.2;56.3;55.3;50.8;42.2;2020-10-26
49;2020-10-28T00:00:28+00:00;/sonometros;NoiseLevelObserved;T248661-daily;54.8;56.8;56.0;52.0;43.7;2020-10-27
57;2020-11-05T00:00:57+00:00;/sonometros;NoiseLevelObserved;T248661-daily;57.3;57.8;62.5;57.7;55.8;2020-11-04
