id;recvtime;fiwareservicepath;entitytype;entityid;laeq;laeq_d;laeq_den;laeq_e;laeq_n;dateobserved
1;2020-11-18T13:40:52+00:00;/sonometros;NoiseLevelObserved;T248679-daily;61.1;62.5;64.3;61.5;55.9;2020-11-17
3;2020-11-20T00:00:16+00:00;/sonometros;NoiseLevelObserved;T248679-daily;62.5;64.2;65.0;60.8;55.9;2020-11-19
5;2020-11-22T00:00:20+00:00;/sonometros;NoiseLevelObserved;T248679-daily;60.4;61.4;64.2;63.3;55.8;2020-11-21
8;2020-11-25T00:00:28+00:00;/sonometros;NoiseLevelObserved;T248679-daily;60.6;62.5;62.3;59.1;51.3;2020-11-24
10;2020-09-18T12:40:17+00:00;/sonometros;NoiseLevelObserved;T248679-daily;61.3;62.7;64.6;61.4;56.4;2020-09-17
21;2020-10-19T00:01:55+00:00;/sonometros;NoiseLevelObserved;T248679-daily;59.2;57.6;66.8;59.3;61.0;2020-10-18
24;2020-10-22T00:00:04+00:00;/sonometros;NoiseLevelObserved;T248679-daily;60.5;62.3;62.5;60.0;51.8;2020-10-21
25;2020-10-23T00:00:10+00:00;/sonometros;NoiseLevelObserved;T248679-daily;61.8;63.3;65.3;60.2;57.4;2020-10-22
28;2020-10-26T01:37:33+00:00;/sonometros;NoiseLevelObserved;T248679-daily;57.3;58.7;61.4;56.9;53.7;2020-10-25
29;2020-10-27T00:00:18+00:00;/sonometros;NoiseLevelObserved;T248679-daily;60.6;62.4;62.9;57.2;53.9;2020-10-26
32;2020-10-30T00:00:27+00:00;/sonometros;NoiseLevelObserved;T248679-daily;61.1;62.4;64.2;61.9;55.7;2020-10-29
35;2020-11-02T00:00:34+00:00;/sonometros;NoiseLevelObserved;T248679-daily;57.6;58.4;62.0;60.0;54.4;2020-11-01
38;2020-11-05T00:00:41+00:00;/sonometros;NoiseLevelObserved;T248679-daily;64.6;66.3;67.4;61.3;59.0;2020-11-04
42;2020-11-09T00:00:53+00:00;/sonometros;NoiseLevelObserved;T248679-daily;58.1;59.3;62.0;58.2;54.3;2020-11-08
43;2020-11-10T00:00:56+00:00;/sonometros;NoiseLevelObserved;T248679-daily;60.8;62.4;63.8;59.4;55.3;2020-11-09
45;2020-11-12T00:00:01+00:00;/sonometros;NoiseLevelObserved;T248679-daily;61.8;63.3;64.9;62.4;56.1;2020-11-11
46;2020-11-13T00:00:04+00:00;/sonometros;NoiseLevelObserved;T248679-daily;61.1;62.6;64.0;60.6;55.3;2020-11-12
48;2020-11-15T00:00:11+00:00;/sonometros;NoiseLevelObserved;T248679-daily;59.8;60.4;63.5;64.1;54.4;2020-11-14
50;2020-11-17T00:00:16+00:00;/sonometros;NoiseLevelObserved;T248679-daily;60.4;61.9;63.5;58.8;55.4;2020-11-16
55;2020-12-01T00:00:44+00:00;/sonometros;NoiseLevelObserved;T248679-daily;61.7;63.1;65.3;59.9;57.6;2020-11-30
56;2020-12-02T00:00:46+00:00;/sonometros;NoiseLevelObserved;T248679-daily;61.4;63.0;63.8;61.8;54.1;2020-12-01
59;2020-12-05T00:00:54+00:00;/sonometros;NoiseLevelObserved;T248679-daily;62.0;62.8;65.9;65.4;57.4;2020-12-04
63;2020-12-09T00:00:08+00:00;/sonometros;NoiseLevelObserved;T248679-daily;57.9;59.2;61.6;58.8;53.6;2020-12-08
67;2020-12-13T00:00:18+00:00;/sonometros;NoiseLevelObserved;T248679-daily;60.1;61.4;63.1;62.3;53.7;2020-12-12
70;2020-12-16T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248679-daily;62.2;64.1;64.0;59.1;53.7;2020-12-15
71;2020-12-17T00:00:24+00:00;/sonometros;NoiseLevelObserved;T248679-daily;60.5;62.2;62.8;59.6;53.2;2020-12-16
72;2020-12-18T00:00:28+00:00;/sonometros;NoiseLevelObserved;T248679-daily;61.4;62.8;64.2;63.0;54.7;2020-12-17
76;2020-12-22T00:01:38+00:00;/sonometros;NoiseLevelObserved;T248679-daily;62.1;63.6;64.5;63.1;54.5;2020-12-21
77;2020-12-23T00:00:40+00:00;/sonometros;NoiseLevelObserved;T248679-daily;61.5;63.2;63.7;61.3;53.7;2020-12-22
85;2020-12-31T00:00:07+00:00;/sonometros;NoiseLevelObserved;T248679-daily;60.7;62.4;62.6;61.4;51.2;2020-12-30
86;2021-01-01T00:00:08+00:00;/sonometros;NoiseLevelObserved;T248679-daily;61.8;63.3;64.1;64.4;52.6;2020-12-31
88;2021-01-03T00:00:13+00:00;/sonometros;NoiseLevelObserved;T248679-daily;57.9;58.9;61.8;59.4;54.0;2021-01-02
95;2021-01-10T00:00:29+00:00;/sonometros;NoiseLevelObserved;T248679-daily;60.4;62.1;62.9;59.1;53.7;2021-01-09
97;2021-01-12T00:00:35+00:00;/sonometros;NoiseLevelObserved;T248679-daily;61.4;63.4;62.8;59.4;50.7;2021-01-11
99;2021-01-14T00:00:39+00:00;/sonometros;NoiseLevelObserved;T248679-daily;63.5;65.5;64.7;59.7;52.7;2021-01-13
100;2021-01-15T00:00:41+00:00;/sonometros;NoiseLevelObserved;T248679-daily;61.0;62.8;62.9;59.5;52.5;2021-01-14
109;2021-01-24T00:00:04+00:00;/sonometros;NoiseLevelObserved;T248679-daily;58.1;59.8;60.2;58.7;49.5;2021-01-23
110;2021-01-25T00:00:06+00:00;/sonometros;NoiseLevelObserved;T248679-daily;56.5;58.0;59.3;57.3;50.0;2021-01-24
115;2021-01-30T00:00:20+00:00;/sonometros;NoiseLevelObserved;T248679-daily;61.0;62.9;62.7;59.4;51.6;2021-01-29
116;2021-01-31T00:00:22+00:00;/sonometros;NoiseLevelObserved;T248679-daily;58.0;59.6;60.3;58.4;50.4;2021-01-30
117;2021-02-01T00:00:23+00:00;/sonometros;NoiseLevelObserved;T248679-daily;56.7;58.2;59.0;58.5;48.2;2021-01-31
118;2021-02-02T00:00:26+00:00;/sonometros;NoiseLevelObserved;T248679-daily;61.2;63.2;62.7;57.5;51.6;2021-02-01
119;2021-02-03T00:00:29+00:00;/sonometros;NoiseLevelObserved;T248679-daily;60.3;62.2;62.2;58.0;52.1;2021-02-02
125;2021-02-09T00:00:45+00:00;/sonometros;NoiseLevelObserved;T248679-daily;60.2;62.1;62.1;57.7;51.8;2021-02-08
126;2021-02-10T00:00:47+00:00;/sonometros;NoiseLevelObserved;T248679-daily;60.3;62.2;62.2;58.7;51.8;2021-02-09
127;2021-02-11T00:00:50+00:00;/sonometros;NoiseLevelObserved;T248679-daily;61.3;63.1;63.2;60.3;52.6;2021-02-10
128;2021-02-12T00:00:53+00:00;/sonometros;NoiseLevelObserved;T248679-daily;62.2;64.2;63.8;59.3;53.0;2021-02-11
131;2021-02-15T00:00:05+00:00;/sonometros;NoiseLevelObserved;T248679-daily;58.7;59.8;62.2;60.4;53.9;2021-02-14
136;2021-03-06T00:00:52+00:00;/sonometros;NoiseLevelObserved;T248679-daily;63.2;65.1;65.1;61.6;54.6;2021-03-05
138;2021-03-08T00:00:55+00:00;/sonometros;NoiseLevelObserved;T248679-daily;61.1;62.8;63.4;61.2;53.4;2021-03-07
140;2021-03-10T00:00:36+00:00;/sonometros;NoiseLevelObserved;T248679-daily;61.7;63.5;63.9;59.7;54.3;2021-03-09
143;2021-03-13T00:00:16+00:00;/sonometros;NoiseLevelObserved;T248679-daily;62.4;64.2;64.3;61.6;53.7;2021-03-12
144;2021-03-14T00:00:15+00:00;/sonometros;NoiseLevelObserved;T248679-daily;64.0;66.1;65.1;60.6;52.4;2021-03-13
147;2021-03-17T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248679-daily;61.5;63.2;64.0;60.2;54.8;2021-03-16
153;2021-03-23T00:00:35+00:00;/sonometros;NoiseLevelObserved;T248679-daily;67.6;69.8;68.2;60.3;53.2;2021-03-22
154;2021-03-24T00:00:38+00:00;/sonometros;NoiseLevelObserved;T248679-daily;62.9;64.8;65.1;59.9;55.6;2021-03-23
157;2021-03-27T00:01:46+00:00;/sonometros;NoiseLevelObserved;T248679-daily;64.2;66.1;65.7;61.8;54.4;2021-03-26
158;2021-03-28T00:00:49+00:00;/sonometros;NoiseLevelObserved;T248679-daily;60.8;62.5;62.9;60.8;52.6;2021-03-27
162;2021-04-01T00:00:05+00:00;/sonometros;NoiseLevelObserved;T248679-daily;61.5;63.2;63.8;61.1;53.9;2021-03-31
164;2021-04-03T00:00:20+00:00;/sonometros;NoiseLevelObserved;T248679-daily;60.9;62.7;62.5;60.1;51.2;2021-04-02
177;2021-04-16T00:00:40+00:00;/sonometros;NoiseLevelObserved;T248679-daily;62.5;64.2;64.6;62.5;54.3;2021-04-15
178;2021-04-17T00:00:42+00:00;/sonometros;NoiseLevelObserved;T248679-daily;62.9;64.7;64.9;62.4;54.4;2021-04-16
179;2021-04-18T00:00:45+00:00;/sonometros;NoiseLevelObserved;T248679-daily;61.3;63.1;63.2;61.4;51.9;2021-04-17
188;2021-04-27T00:00:12+00:00;/sonometros;NoiseLevelObserved;T248679-daily;63.3;64.7;66.7;63.1;58.7;2021-04-26
190;2021-04-29T00:00:18+00:00;/sonometros;NoiseLevelObserved;T248679-daily;63.0;64.7;65.3;64.1;54.6;2021-04-28
195;2021-05-04T00:00:29+00:00;/sonometros;NoiseLevelObserved;T248679-daily;62.1;63.9;64.0;61.0;53.4;2021-05-03
196;2021-05-05T00:00:32+00:00;/sonometros;NoiseLevelObserved;T248679-daily;62.0;63.6;64.2;62.1;54.0;2021-05-04
197;2021-05-06T00:00:34+00:00;/sonometros;NoiseLevelObserved;T248679-daily;62.0;63.6;64.6;62.4;55.1;2021-05-05
199;2021-05-08T00:00:41+00:00;/sonometros;NoiseLevelObserved;T248679-daily;62.8;64.2;65.1;65.4;53.7;2021-05-07
202;2021-05-11T00:00:49+00:00;/sonometros;NoiseLevelObserved;T248679-daily;61.7;63.4;63.9;61.3;54.0;2021-05-10
206;2021-05-15T00:00:04+00:00;/sonometros;NoiseLevelObserved;T248679-daily;62.9;64.1;66.2;65.1;57.4;2021-05-14
209;2021-05-18T00:00:13+00:00;/sonometros;NoiseLevelObserved;T248679-daily;61.4;63.1;63.8;61.1;54.1;2021-05-17
210;2021-05-19T00:00:15+00:00;/sonometros;NoiseLevelObserved;T248679-daily;62.2;63.8;64.8;63.3;55.0;2021-05-18
212;2021-05-21T00:00:19+00:00;/sonometros;NoiseLevelObserved;T248679-daily;62.5;63.9;65.4;64.1;56.0;2021-05-20
217;2021-05-26T00:00:32+00:00;/sonometros;NoiseLevelObserved;T248679-daily;62.5;64.2;64.8;62.7;54.7;2021-05-25
221;2021-05-30T00:00:43+00:00;/sonometros;NoiseLevelObserved;T248679-daily;61.6;62.0;66.7;64.1;59.6;2021-05-29
226;2021-06-04T00:00:58+00:00;/sonometros;NoiseLevelObserved;T248679-daily;63.0;64.3;66.1;64.8;57.1;2021-06-03
227;2021-06-05T00:00:06+00:00;/sonometros;NoiseLevelObserved;T248679-daily;63.3;64.3;67.2;65.5;59.1;2021-06-04
230;2021-06-08T00:00:11+00:00;/sonometros;NoiseLevelObserved;T248679-daily;62.6;64.3;65.1;61.6;55.9;2021-06-07
