id;recvtime;fiwareservicepath;entitytype;entityid;laeq;laeq_d;laeq_den;laeq_e;laeq_n;dateobserved
8;2020-11-25T00:00:32+00:00;/sonometros;NoiseLevelObserved;T248672-daily;56.8;58.7;58.9;55.4;48.8;2020-11-24
10;2020-09-18T12:40:17+00:00;/sonometros;NoiseLevelObserved;T248672-daily;56.9;58.0;60.8;59.0;52.7;2020-09-17
16;2020-09-24T00:00:35+00:00;/sonometros;NoiseLevelObserved;T248672-daily;56.6;57.4;61.0;58.7;53.5;2020-09-23
17;2020-09-25T00:00:38+00:00;/sonometros;NoiseLevelObserved;T248672-daily;56.9;57.7;61.3;59.1;53.8;2020-09-24
21;2020-10-01T00:00:52+00:00;/sonometros;NoiseLevelObserved;T248672-daily;57.2;58.1;61.7;57.5;54.5;2020-09-30
22;2020-10-02T00:00:55+00:00;/sonometros;NoiseLevelObserved;T248672-daily;57.3;58.3;61.4;59.1;53.6;2020-10-01
23;2020-10-03T00:00:57+00:00;/sonometros;NoiseLevelObserved;T248672-daily;59.2;59.4;64.1;63.2;56.5;2020-10-02
26;2020-10-06T00:00:20+00:00;/sonometros;NoiseLevelObserved;T248672-daily;59.3;61.2;61.4;58.1;51.1;2020-10-05
33;2020-10-13T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248672-daily;55.6;56.3;60.4;56.6;53.4;2020-10-12
37;2020-10-17T00:00:46+00:00;/sonometros;NoiseLevelObserved;T248672-daily;58.4;59.3;62.5;60.9;54.6;2020-10-16
39;2020-10-19T00:00:51+00:00;/sonometros;NoiseLevelObserved;T248672-daily;56.2;56.1;62.3;57.2;56.0;2020-10-18
40;2020-10-20T00:00:52+00:00;/sonometros;NoiseLevelObserved;T248672-daily;57.3;58.6;61.4;56.3;54.1;2020-10-19
41;2020-10-21T00:00:55+00:00;/sonometros;NoiseLevelObserved;T248672-daily;57.3;58.7;61.0;56.1;53.4;2020-10-20
52;2020-11-01T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248672-daily;59.8;61.0;62.7;62.4;53.1;2020-10-31
58;2020-11-07T00:00:34+00:00;/sonometros;NoiseLevelObserved;T248672-daily;58.3;59.2;62.0;61.4;53.4;2020-11-06
61;2020-11-10T00:00:41+00:00;/sonometros;NoiseLevelObserved;T248672-daily;58.7;60.1;62.4;55.6;54.9;2020-11-09
63;2020-11-12T00:00:46+00:00;/sonometros;NoiseLevelObserved;T248672-daily;57.2;58.5;60.5;57.9;52.2;2020-11-11
64;2020-11-13T00:00:48+00:00;/sonometros;NoiseLevelObserved;T248672-daily;56.9;58.3;59.4;58.8;49.3;2020-11-12
65;2020-11-14T00:00:51+00:00;/sonometros;NoiseLevelObserved;T248672-daily;58.6;59.2;62.8;61.9;54.8;2020-11-13
66;2020-11-15T00:00:53+00:00;/sonometros;NoiseLevelObserved;T248672-daily;60.5;61.5;64.0;63.3;55.3;2020-11-14
71;2020-11-29T00:00:41+00:00;/sonometros;NoiseLevelObserved;T248672-daily;61.8;62.2;67.4;62.6;60.8;2020-11-28
75;2020-12-03T00:00:50+00:00;/sonometros;NoiseLevelObserved;T248672-daily;56.2;57.0;61.4;54.3;54.9;2020-12-02
79;2020-12-07T00:00:58+00:00;/sonometros;NoiseLevelObserved;T248672-daily;55.3;56.7;58.3;55.7;49.7;2020-12-06
80;2020-12-08T00:00:03+00:00;/sonometros;NoiseLevelObserved;T248672-daily;58.1;59.5;60.9;59.8;51.5;2020-12-07
81;2020-12-09T00:00:11+00:00;/sonometros;NoiseLevelObserved;T248672-daily;54.8;56.4;57.7;54.1;49.0;2020-12-08
82;2020-12-10T00:00:06+00:00;/sonometros;NoiseLevelObserved;T248672-daily;56.2;57.5;59.9;55.3;52.3;2020-12-09
83;2020-12-11T00:00:08+00:00;/sonometros;NoiseLevelObserved;T248672-daily;56.7;57.9;60.4;57.8;52.3;2020-12-10
87;2020-12-15T00:00:32+00:00;/sonometros;NoiseLevelObserved;T248672-daily;56.9;58.0;60.6;58.4;52.6;2020-12-14
90;2020-12-18T00:01:39+00:00;/sonometros;NoiseLevelObserved;T248672-daily;57.6;58.9;61.5;57.8;53.8;2020-12-17
92;2020-12-20T00:00:44+00:00;/sonometros;NoiseLevelObserved;T248672-daily;60.0;60.8;63.6;63.5;54.8;2020-12-19
94;2020-12-22T00:00:48+00:00;/sonometros;NoiseLevelObserved;T248672-daily;57.4;59.1;59.9;57.4;50.3;2020-12-21
97;2020-12-25T00:00:56+00:00;/sonometros;NoiseLevelObserved;T248672-daily;57.3;59.3;58.9;52.6;48.3;2020-12-24
99;2020-12-27T00:01:00+00:00;/sonometros;NoiseLevelObserved;T248672-daily;58.0;59.2;60.4;61.8;48.0;2020-12-26
102;2020-12-30T00:00:46+00:00;/sonometros;NoiseLevelObserved;T248672-daily;62.9;63.4;68.8;57.5;62.7;2020-12-29
104;2021-01-01T00:00:49+00:00;/sonometros;NoiseLevelObserved;T248672-daily;59.7;60.3;64.6;61.9;57.4;2020-12-31
106;2021-01-03T00:00:53+00:00;/sonometros;NoiseLevelObserved;T248672-daily;59.9;61.7;62.2;58.6;52.5;2021-01-02
107;2021-01-04T00:00:57+00:00;/sonometros;NoiseLevelObserved;T248672-daily;54.8;56.4;56.6;56.5;44.1;2021-01-03
109;2021-01-06T00:00:09+00:00;/sonometros;NoiseLevelObserved;T248672-daily;56.8;58.4;59.6;56.9;50.5;2021-01-05
110;2021-01-07T00:00:04+00:00;/sonometros;NoiseLevelObserved;T248672-daily;56.4;57.5;59.8;59.3;50.9;2021-01-06
111;2021-01-08T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248672-daily;57.1;58.6;60.4;54.3;52.6;2021-01-07
113;2021-01-10T00:00:10+00:00;/sonometros;NoiseLevelObserved;T248672-daily;57.2;58.5;60.5;57.6;52.3;2021-01-09
114;2021-01-11T00:00:11+00:00;/sonometros;NoiseLevelObserved;T248672-daily;54.6;56.5;56.1;54.3;43.6;2021-01-10
117;2021-01-14T00:00:17+00:00;/sonometros;NoiseLevelObserved;T248672-daily;56.3;57.9;59.7;54.3;51.7;2021-01-13
118;2021-01-15T00:00:20+00:00;/sonometros;NoiseLevelObserved;T248672-daily;56.1;58.1;57.5;53.0;46.0;2021-01-14
121;2021-01-18T00:00:25+00:00;/sonometros;NoiseLevelObserved;T248672-daily;53.4;54.6;57.4;52.1;50.1;2021-01-17
125;2021-01-22T00:00:34+00:00;/sonometros;NoiseLevelObserved;T248672-daily;56.8;58.6;59.4;53.4;50.6;2021-01-21
126;2021-01-23T00:00:37+00:00;/sonometros;NoiseLevelObserved;T248672-daily;55.9;57.7;58.2;53.6;48.8;2021-01-22
127;2021-01-24T00:00:38+00:00;/sonometros;NoiseLevelObserved;T248672-daily;54.7;56.5;57.1;52.1;47.9;2021-01-23
131;2021-01-28T00:00:47+00:00;/sonometros;NoiseLevelObserved;T248672-daily;55.9;57.7;57.9;52.8;48.2;2021-01-27
139;2021-02-05T00:00:08+00:00;/sonometros;NoiseLevelObserved;T248672-daily;56.5;58.5;57.6;54.1;44.8;2021-02-04
140;2021-02-06T00:00:14+00:00;/sonometros;NoiseLevelObserved;T248672-daily;57.2;58.6;61.2;54.0;54.0;2021-02-05
148;2021-02-14T00:00:26+00:00;/sonometros;NoiseLevelObserved;T248672-daily;54.9;56.5;56.6;57.3;41.8;2021-02-13
151;2021-02-17T00:00:33+00:00;/sonometros;NoiseLevelObserved;T248672-daily;56.4;58.0;59.8;53.6;52.0;2021-02-16
153;2021-03-25T00:00:33+00:00;/sonometros;NoiseLevelObserved;T248672-daily;57.7;59.5;60.6;54.5;52.3;2021-03-24
158;2021-03-30T00:00:46+00:00;/sonometros;NoiseLevelObserved;T248672-daily;59.5;61.6;60.9;53.5;49.9;2021-03-29
159;2021-03-31T00:00:46+00:00;/sonometros;NoiseLevelObserved;T248672-daily;57.3;59.0;59.9;55.6;50.9;2021-03-30
161;2021-04-02T00:00:51+00:00;/sonometros;NoiseLevelObserved;T248672-daily;57.8;59.7;58.9;57.6;44.2;2021-04-01
162;2021-04-03T00:00:53+00:00;/sonometros;NoiseLevelObserved;T248672-daily;57.7;59.5;59.9;54.2;50.7;2021-04-02
166;2021-04-07T00:00:11+00:00;/sonometros;NoiseLevelObserved;T248672-daily;59.7;61.8;60.6;54.9;47.5;2021-04-06
167;2021-04-08T00:00:09+00:00;/sonometros;NoiseLevelObserved;T248672-daily;58.4;60.1;61.5;54.1;53.5;2021-04-07
