id;recvtime;fiwareservicepath;entitytype;entityid;laeq;laeq_d;laeq_den;laeq_e;laeq_n;dateobserved
8;2020-11-25T00:00:49+00:00;/sonometros;NoiseLevelObserved;T248676-daily;60.5;62.4;62.3;57.9;51.8;2020-11-24
9;2020-11-26T00:00:50+00:00;/sonometros;NoiseLevelObserved;T248676-daily;60.0;61.7;62.2;58.6;52.6;2020-11-25
10;2020-10-15T00:00:07+00:00;/sonometros;NoiseLevelObserved;T248676-daily;59.6;60.7;62.1;58.2;54.2;2020-10-14
12;2020-10-17T00:00:11+00:00;/sonometros;NoiseLevelObserved;T248676-daily;59.9;61.2;62.4;62.6;51.7;2020-10-16
14;2020-10-19T00:00:15+00:00;/sonometros;NoiseLevelObserved;T248676-daily;56.6;57.5;60.7;59.2;52.7;2020-10-18
18;2020-10-23T00:00:24+00:00;/sonometros;NoiseLevelObserved;T248676-daily;60.0;61.8;62.1;58.5;52.1;2020-10-22
23;2020-10-28T03:59:56+00:00;/sonometros;NoiseLevelObserved;T248676-daily;59.4;61.3;61.2;57.5;50.5;2020-10-27
35;2020-11-09T00:01:09+00:00;/sonometros;NoiseLevelObserved;T248676-daily;57.2;58.5;60.5;58.5;52.0;2020-11-08
38;2020-11-12T00:00:16+00:00;/sonometros;NoiseLevelObserved;T248676-daily;60.3;61.9;62.4;60.9;51.8;2020-11-11
39;2020-11-13T00:00:19+00:00;/sonometros;NoiseLevelObserved;T248676-daily;60.0;61.8;62.5;58.7;53.3;2020-11-12
40;2020-11-14T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248676-daily;60.2;61.9;62.6;60.3;52.9;2020-11-13
42;2020-11-16T00:00:26+00:00;/sonometros;NoiseLevelObserved;T248676-daily;56.8;57.8;61.3;56.8;54.1;2020-11-15
45;2020-11-28T00:00:55+00:00;/sonometros;NoiseLevelObserved;T248676-daily;66.4;68.6;67.1;60.0;52.9;2020-11-27
48;2020-12-01T00:00:04+00:00;/sonometros;NoiseLevelObserved;T248676-daily;60.4;61.8;63.9;58.7;56.2;2020-11-30
49;2020-12-02T00:00:06+00:00;/sonometros;NoiseLevelObserved;T248676-daily;60.0;61.8;62.0;58.6;51.9;2020-12-01
