id;recvtime;fiwareservicepath;entitytype;entityid;laeq;laeq_d;laeq_den;laeq_e;laeq_n;dateobserved
4;2020-11-21T00:00:42+00:00;/sonometros;NoiseLevelObserved;T248684-daily;62.9;63.3;66.5;67.9;56.8;2020-11-20
6;2020-11-23T00:00:47+00:00;/sonometros;NoiseLevelObserved;T248684-daily;59.1;60.2;61.8;62.6;51.1;2020-11-22
7;2020-11-24T00:00:50+00:00;/sonometros;NoiseLevelObserved;T248684-daily;60.8;62.2;63.1;62.8;52.2;2020-11-23
12;2020-09-20T00:00:28+00:00;/sonometros;NoiseLevelObserved;T248684-daily;64.1;63.8;69.4;68.9;62.0;2020-09-19
14;2020-09-22T00:00:33+00:00;/sonometros;NoiseLevelObserved;T248684-daily;60.8;62.1;63.3;63.3;52.9;2020-09-21
16;2020-09-24T00:00:37+00:00;/sonometros;NoiseLevelObserved;T248684-daily;61.6;61.9;66.0;66.0;57.8;2020-09-23
17;2020-09-25T00:00:40+00:00;/sonometros;NoiseLevelObserved;T248684-daily;61.2;61.6;65.8;65.1;58.0;2020-09-24
23;2020-10-01T00:00:55+00:00;/sonometros;NoiseLevelObserved;T248684-daily;61.0;60.9;65.6;66.6;57.2;2020-09-30
24;2020-10-02T00:00:58+00:00;/sonometros;NoiseLevelObserved;T248684-daily;59.9;60.7;64.0;63.0;55.9;2020-10-01
25;2020-10-03T00:00:02+00:00;/sonometros;NoiseLevelObserved;T248684-daily;62.4;62.4;66.8;67.7;58.3;2020-10-02
28;2020-10-06T00:00:09+00:00;/sonometros;NoiseLevelObserved;T248684-daily;59.6;61.0;62.2;61.0;52.5;2020-10-05
29;2020-10-07T00:00:11+00:00;/sonometros;NoiseLevelObserved;T248684-daily;60.4;61.5;63.8;63.3;54.8;2020-10-06
31;2020-10-09T00:00:15+00:00;/sonometros;NoiseLevelObserved;T248684-daily;63.7;63.1;69.2;68.8;61.8;2020-10-08
32;2020-10-10T00:00:18+00:00;/sonometros;NoiseLevelObserved;T248684-daily;63.2;62.1;69.2;68.6;62.2;2020-10-09
33;2020-10-11T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248684-daily;62.7;60.5;69.6;68.2;63.0;2020-10-10
34;2020-10-12T00:00:23+00:00;/sonometros;NoiseLevelObserved;T248684-daily;60.2;58.1;68.3;58.4;62.7;2020-10-11
35;2020-10-13T00:00:25+00:00;/sonometros;NoiseLevelObserved;T248684-daily;59.8;60.1;63.7;65.1;54.3;2020-10-12
37;2020-10-15T00:00:30+00:00;/sonometros;NoiseLevelObserved;T248684-daily;59.6;61.2;62.0;59.8;52.4;2020-10-14
38;2020-10-16T00:00:45+00:00;/sonometros;NoiseLevelObserved;T248684-daily;60.5;61.8;63.2;63.1;53.0;2020-10-15
39;2020-10-17T00:00:46+00:00;/sonometros;NoiseLevelObserved;T248684-daily;62.0;62.3;66.8;65.9;59.2;2020-10-16
40;2020-10-18T00:00:50+00:00;/sonometros;NoiseLevelObserved;T248684-daily;65.2;64.1;71.1;70.7;63.9;2020-10-17
46;2020-10-24T00:00:07+00:00;/sonometros;NoiseLevelObserved;T248684-daily;62.0;62.7;66.1;65.2;58.1;2020-10-23
49;2020-10-27T00:00:12+00:00;/sonometros;NoiseLevelObserved;T248684-daily;59.0;60.6;61.2;60.0;50.8;2020-10-26
54;2020-11-01T00:00:23+00:00;/sonometros;NoiseLevelObserved;T248684-daily;64.7;65.4;68.2;69.2;58.6;2020-10-31
58;2020-11-05T00:00:32+00:00;/sonometros;NoiseLevelObserved;T248684-daily;61.2;62.9;63.6;61.0;53.9;2020-11-04
59;2020-11-06T00:00:35+00:00;/sonometros;NoiseLevelObserved;T248684-daily;62.6;64.2;65.9;60.0;57.9;2020-11-05
66;2020-11-13T00:00:51+00:00;/sonometros;NoiseLevelObserved;T248684-daily;60.4;62.0;62.9;61.7;52.7;2020-11-12
67;2020-11-14T00:00:56+00:00;/sonometros;NoiseLevelObserved;T248684-daily;61.9;62.4;65.5;66.6;55.9;2020-11-13
68;2020-11-15T00:00:56+00:00;/sonometros;NoiseLevelObserved;T248684-daily;65.0;66.2;67.5;68.8;55.6;2020-11-14
70;2020-11-17T00:00:02+00:00;/sonometros;NoiseLevelObserved;T248684-daily;60.6;62.4;62.5;59.9;51.7;2020-11-16
73;2020-11-29T00:00:02+00:00;/sonometros;NoiseLevelObserved;T248684-daily;65.3;65.7;68.8;70.8;58.4;2020-11-28
78;2020-12-04T00:00:13+00:00;/sonometros;NoiseLevelObserved;T248684-daily;60.6;62.0;63.3;62.1;53.8;2020-12-03
81;2020-12-07T00:00:20+00:00;/sonometros;NoiseLevelObserved;T248684-daily;58.5;59.9;61.6;58.9;53.0;2020-12-06
82;2020-12-08T00:00:23+00:00;/sonometros;NoiseLevelObserved;T248684-daily;62.0;63.2;65.1;64.8;55.7;2020-12-07
83;2020-12-09T00:00:24+00:00;/sonometros;NoiseLevelObserved;T248684-daily;58.4;60.0;60.7;60.0;49.8;2020-12-08
84;2020-12-10T00:00:26+00:00;/sonometros;NoiseLevelObserved;T248684-daily;59.5;60.7;62.3;62.2;52.5;2020-12-09
86;2020-12-12T00:00:33+00:00;/sonometros;NoiseLevelObserved;T248684-daily;63.1;63.0;67.3;69.0;58.0;2020-12-11
87;2020-12-13T00:00:36+00:00;/sonometros;NoiseLevelObserved;T248684-daily;62.6;63.5;66.0;66.3;56.7;2020-12-12
95;2020-12-21T00:00:54+00:00;/sonometros;NoiseLevelObserved;T248684-daily;57.6;59.2;59.9;58.1;49.9;2020-12-20
97;2020-12-23T00:00:00+00:00;/sonometros;NoiseLevelObserved;T248684-daily;61.3;62.7;63.4;64.7;50.0;2020-12-22
101;2020-12-27T00:00:09+00:00;/sonometros;NoiseLevelObserved;T248684-daily;64.6;66.3;66.0;66.6;50.0;2020-12-26
102;2020-12-28T00:00:10+00:00;/sonometros;NoiseLevelObserved;T248684-daily;57.7;59.5;59.1;58.6;45.1;2020-12-27
109;2021-01-04T00:00:58+00:00;/sonometros;NoiseLevelObserved;T248684-daily;55.9;57.3;58.2;58.6;46.7;2021-01-03
111;2021-01-06T00:00:03+00:00;/sonometros;NoiseLevelObserved;T248684-daily;59.8;61.1;62.8;61.4;53.7;2021-01-05
116;2021-01-11T00:00:14+00:00;/sonometros;NoiseLevelObserved;T248684-daily;57.0;58.8;58.3;57.3;44.3;2021-01-10
117;2021-01-12T00:00:16+00:00;/sonometros;NoiseLevelObserved;T248684-daily;61.7;63.8;62.8;57.7;50.2;2021-01-11
118;2021-01-13T00:00:17+00:00;/sonometros;NoiseLevelObserved;T248684-daily;60.9;63.0;61.8;56.6;48.3;2021-01-12
120;2021-01-15T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248684-daily;60.6;62.7;61.8;57.0;49.7;2021-01-14
127;2021-01-22T00:00:35+00:00;/sonometros;NoiseLevelObserved;T248684-daily;57.7;59.4;59.6;58.5;48.1;2021-01-21
128;2021-01-23T00:00:37+00:00;/sonometros;NoiseLevelObserved;T248684-daily;56.0;57.7;58.0;57.8;45.7;2021-01-22
129;2021-01-24T00:00:40+00:00;/sonometros;NoiseLevelObserved;T248684-daily;56.3;58.0;58.6;57.1;48.2;2021-01-23
135;2021-01-30T00:00:53+00:00;/sonometros;NoiseLevelObserved;T248684-daily;57.2;59.0;59.0;57.1;47.5;2021-01-29
136;2021-01-31T00:00:57+00:00;/sonometros;NoiseLevelObserved;T248684-daily;55.9;57.7;57.6;56.5;45.5;2021-01-30
143;2021-02-07T00:00:12+00:00;/sonometros;NoiseLevelObserved;T248684-daily;56.9;58.7;58.5;57.1;46.2;2021-02-06
144;2021-02-08T00:00:16+00:00;/sonometros;NoiseLevelObserved;T248684-daily;54.1;55.6;56.5;55.5;46.3;2021-02-07
150;2021-02-14T00:00:28+00:00;/sonometros;NoiseLevelObserved;T248684-daily;56.4;57.7;58.9;59.3;47.8;2021-02-13
153;2021-02-17T00:00:35+00:00;/sonometros;NoiseLevelObserved;T248684-daily;57.9;59.7;59.8;57.7;48.8;2021-02-16
154;2021-03-13T00:00:11+00:00;/sonometros;NoiseLevelObserved;T248684-daily;61.0;62.1;62.5;59.0;51.5;2021-03-12
157;2021-03-16T00:00:15+00:00;/sonometros;NoiseLevelObserved;T248684-daily;61.5;63.7;62.3;57.3;47.5;2021-03-15
161;2021-03-20T00:00:22+00:00;/sonometros;NoiseLevelObserved;T248684-daily;60.3;62.3;61.3;59.9;44.8;2021-03-19
162;2021-03-21T00:00:24+00:00;/sonometros;NoiseLevelObserved;T248684-daily;60.0;61.8;61.5;59.5;49.5;2021-03-20
165;2021-03-24T00:00:33+00:00;/sonometros;NoiseLevelObserved;T248684-daily;62.3;64.4;63.2;57.9;50.0;2021-03-23
