id;recvtime;fiwareservicepath;entitytype;entityid;laeq;laeq_d;laeq_den;laeq_e;laeq_n;dateobserved
1;2020-11-18T13:40:52+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.1;60.8;61.4;58.7;51.6;2020-11-17
7;2020-11-24T00:00:26+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.5;61.4;61.3;57.7;50.7;2020-11-23
9;2020-11-26T00:00:32+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.4;60.9;62.2;60.3;53.0;2020-11-25
11;2020-09-19T00:00:28+00:00;/sonometros;NoiseLevelObserved;T248680-daily;61.5;61.3;66.8;66.3;59.4;2020-09-18
14;2020-09-22T00:00:36+00:00;/sonometros;NoiseLevelObserved;T248680-daily;60.1;61.6;62.7;61.0;53.2;2020-09-21
17;2020-09-25T00:00:44+00:00;/sonometros;NoiseLevelObserved;T248680-daily;60.4;60.5;65.3;64.3;57.9;2020-09-24
18;2020-09-26T00:00:46+00:00;/sonometros;NoiseLevelObserved;T248680-daily;61.7;60.7;67.2;67.6;59.6;2020-09-25
20;2020-09-28T00:00:53+00:00;/sonometros;NoiseLevelObserved;T248680-daily;57.7;56.8;64.7;58.5;58.8;2020-09-27
21;2020-09-29T00:00:54+00:00;/sonometros;NoiseLevelObserved;T248680-daily;60.0;61.8;62.2;59.9;52.0;2020-09-28
23;2020-10-01T00:00:04+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.5;60.5;63.1;62.3;54.6;2020-09-30
24;2020-10-02T00:00:05+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.7;60.1;64.2;63.7;56.2;2020-10-01
25;2020-10-03T00:00:07+00:00;/sonometros;NoiseLevelObserved;T248680-daily;62.4;62.0;67.7;67.6;60.1;2020-10-02
28;2020-10-06T00:00:18+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.7;61.4;62.1;58.1;52.9;2020-10-05
29;2020-10-07T00:00:17+00:00;/sonometros;NoiseLevelObserved;T248680-daily;58.8;59.9;62.7;60.4;54.8;2020-10-06
31;2020-10-09T00:00:22+00:00;/sonometros;NoiseLevelObserved;T248680-daily;61.1;61.5;65.6;65.3;57.5;2020-10-08
32;2020-10-10T00:00:23+00:00;/sonometros;NoiseLevelObserved;T248680-daily;61.9;61.4;67.5;66.6;60.3;2020-10-09
37;2020-10-15T00:00:37+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.8;61.5;62.5;59.3;53.3;2020-10-14
38;2020-10-16T00:00:44+00:00;/sonometros;NoiseLevelObserved;T248680-daily;58.9;60.1;62.3;61.2;53.6;2020-10-15
39;2020-10-17T00:00:47+00:00;/sonometros;NoiseLevelObserved;T248680-daily;61.3;61.3;65.8;66.6;57.3;2020-10-16
40;2020-10-18T00:00:50+00:00;/sonometros;NoiseLevelObserved;T248680-daily;63.1;62.8;68.7;67.6;61.5;2020-10-17
42;2020-10-20T00:00:55+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.8;61.5;62.1;60.0;51.9;2020-10-19
46;2020-10-24T00:00:13+00:00;/sonometros;NoiseLevelObserved;T248680-daily;62.5;62.4;67.5;67.6;59.7;2020-10-23
47;2020-10-25T00:00:10+00:00;/sonometros;NoiseLevelObserved;T248680-daily;64.2;63.1;70.2;69.5;63.2;2020-10-24
51;2020-10-29T00:00:19+00:00;/sonometros;NoiseLevelObserved;T248680-daily;58.8;60.2;61.7;60.1;52.5;2020-10-28
53;2020-10-31T00:00:24+00:00;/sonometros;NoiseLevelObserved;T248680-daily;62.1;62.5;66.1;66.8;57.2;2020-10-30
55;2020-11-02T00:00:28+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.0;59.9;62.8;62.1;54.3;2020-11-01
56;2020-11-03T00:00:31+00:00;/sonometros;NoiseLevelObserved;T248680-daily;61.4;63.3;63.0;60.1;51.6;2020-11-02
62;2020-11-09T00:00:47+00:00;/sonometros;NoiseLevelObserved;T248680-daily;60.2;61.5;62.7;63.1;51.8;2020-11-08
64;2020-11-11T00:00:51+00:00;/sonometros;NoiseLevelObserved;T248680-daily;60.1;61.7;62.4;60.8;52.3;2020-11-10
65;2020-11-12T00:00:53+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.7;61.2;62.2;60.4;52.7;2020-11-11
66;2020-11-13T00:00:56+00:00;/sonometros;NoiseLevelObserved;T248680-daily;61.3;62.7;64.3;63.1;55.0;2020-11-12
67;2020-11-14T00:00:01+00:00;/sonometros;NoiseLevelObserved;T248680-daily;63.7;63.1;67.8;70.5;57.5;2020-11-13
72;2020-11-28T00:00:37+00:00;/sonometros;NoiseLevelObserved;T248680-daily;67.6;69.9;68.3;60.7;53.7;2020-11-27
73;2020-11-29T00:00:38+00:00;/sonometros;NoiseLevelObserved;T248680-daily;63.7;64.0;67.6;68.9;58.2;2020-11-28
74;2020-11-30T00:00:40+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.9;61.4;62.4;62.2;51.6;2020-11-29
75;2020-12-01T00:00:43+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.5;61.3;61.5;58.2;51.4;2020-11-30
76;2020-12-02T00:00:46+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.5;61.0;62.3;61.0;52.8;2020-12-01
77;2020-12-03T00:00:48+00:00;/sonometros;NoiseLevelObserved;T248680-daily;58.3;59.8;61.1;59.8;51.5;2020-12-02
78;2020-12-04T00:00:50+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.4;60.6;62.5;61.9;53.2;2020-12-03
80;2020-12-06T00:00:55+00:00;/sonometros;NoiseLevelObserved;T248680-daily;61.1;62.4;63.9;63.7;53.8;2020-12-05
83;2020-12-09T00:00:04+00:00;/sonometros;NoiseLevelObserved;T248680-daily;57.3;58.5;60.3;59.5;51.1;2020-12-08
90;2020-12-16T00:00:23+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.8;61.4;62.2;60.2;52.3;2020-12-15
91;2020-12-17T00:00:25+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.8;61.5;62.1;60.0;52.1;2020-12-16
94;2020-12-20T00:01:33+00:00;/sonometros;NoiseLevelObserved;T248680-daily;63.9;64.7;66.9;68.1;56.6;2020-12-19
97;2020-12-23T00:00:39+00:00;/sonometros;NoiseLevelObserved;T248680-daily;61.7;63.5;63.2;62.0;50.6;2020-12-22
100;2020-12-26T00:00:46+00:00;/sonometros;NoiseLevelObserved;T248680-daily;56.5;58.1;59.2;57.5;49.6;2020-12-25
103;2020-12-29T00:00:43+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.7;61.7;62.1;59.3;51.8;2020-12-28
104;2020-12-30T00:00:46+00:00;/sonometros;NoiseLevelObserved;T248680-daily;61.2;61.6;67.0;58.4;60.8;2020-12-29
109;2021-01-04T00:00:57+00:00;/sonometros;NoiseLevelObserved;T248680-daily;57.4;59.1;59.2;58.7;46.8;2021-01-03
110;2021-01-05T00:00:04+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.8;61.7;61.5;58.4;50.6;2021-01-04
111;2021-01-06T00:00:11+00:00;/sonometros;NoiseLevelObserved;T248680-daily;60.6;62.4;62.3;60.5;50.5;2021-01-05
118;2021-01-13T00:00:19+00:00;/sonometros;NoiseLevelObserved;T248680-daily;62.1;64.3;62.8;54.0;49.1;2021-01-12
119;2021-01-14T00:00:22+00:00;/sonometros;NoiseLevelObserved;T248680-daily;61.8;63.9;62.6;54.8;49.8;2021-01-13
125;2021-01-20T00:00:34+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.2;61.2;60.2;55.8;47.1;2021-01-19
127;2021-01-22T00:01:39+00:00;/sonometros;NoiseLevelObserved;T248680-daily;58.4;60.4;59.7;55.1;47.9;2021-01-21
128;2021-01-23T00:00:41+00:00;/sonometros;NoiseLevelObserved;T248680-daily;57.6;59.5;58.7;56.1;45.3;2021-01-22
130;2021-01-25T00:00:48+00:00;/sonometros;NoiseLevelObserved;T248680-daily;55.8;57.2;59.5;54.4;51.8;2021-01-24
136;2021-01-31T00:00:06+00:00;/sonometros;NoiseLevelObserved;T248680-daily;58.0;60.0;59.1;55.5;46.0;2021-01-30
138;2021-02-02T00:00:09+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.2;61.2;60.9;53.5;50.8;2021-02-01
141;2021-02-05T00:00:46+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.4;61.5;60.5;55.9;47.9;2021-02-04
146;2021-02-10T00:00:26+00:00;/sonometros;NoiseLevelObserved;T248680-daily;58.5;60.5;59.8;54.6;48.4;2021-02-09
151;2021-02-15T00:00:39+00:00;/sonometros;NoiseLevelObserved;T248680-daily;58.4;60.3;60.2;57.5;49.1;2021-02-14
152;2021-02-16T00:00:41+00:00;/sonometros;NoiseLevelObserved;T248680-daily;61.9;64.0;63.4;55.9;52.6;2021-02-15
155;2021-04-08T00:00:58+00:00;/sonometros;NoiseLevelObserved;T248680-daily;60.6;62.6;62.2;56.7;51.4;2021-04-07
168;2021-04-21T00:00:30+00:00;/sonometros;NoiseLevelObserved;T248680-daily;58.5;60.5;59.8;56.5;47.6;2021-04-20
173;2021-04-26T00:00:42+00:00;/sonometros;NoiseLevelObserved;T248680-daily;60.0;62.0;61.7;55.8;51.4;2021-04-25
177;2021-04-30T00:00:15+00:00;/sonometros;NoiseLevelObserved;T248680-daily;60.8;62.5;62.4;61.3;50.2;2021-04-29
180;2021-05-03T00:00:15+00:00;/sonometros;NoiseLevelObserved;T248680-daily;60.8;62.7;62.1;60.3;48.5;2021-05-02
183;2021-05-06T00:00:22+00:00;/sonometros;NoiseLevelObserved;T248680-daily;60.3;62.0;61.8;61.2;48.4;2021-05-05
184;2021-05-07T00:01:23+00:00;/sonometros;NoiseLevelObserved;T248680-daily;60.1;61.6;62.1;62.4;49.9;2021-05-06
186;2021-05-09T00:00:29+00:00;/sonometros;NoiseLevelObserved;T248680-daily;68.0;69.8;69.0;69.1;48.6;2021-05-08
188;2021-05-11T00:00:34+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.8;61.5;61.8;59.4;51.3;2021-05-10
189;2021-05-12T00:00:36+00:00;/sonometros;NoiseLevelObserved;T248680-daily;58.1;59.7;60.9;59.0;51.5;2021-05-11
190;2021-05-13T00:00:39+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.4;61.0;61.6;60.3;51.2;2021-05-12
191;2021-05-14T00:00:42+00:00;/sonometros;NoiseLevelObserved;T248680-daily;60.7;61.4;64.5;64.6;55.8;2021-05-13
196;2021-05-19T00:00:55+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.4;61.0;62.1;60.2;52.6;2021-05-18
200;2021-05-23T00:00:25+00:00;/sonometros;NoiseLevelObserved;T248680-daily;67.6;68.7;70.3;70.9;59.9;2021-05-22
201;2021-05-24T00:00:11+00:00;/sonometros;NoiseLevelObserved;T248680-daily;57.8;58.9;61.5;60.1;53.2;2021-05-23
204;2021-05-27T00:00:17+00:00;/sonometros;NoiseLevelObserved;T248680-daily;62.3;62.1;67.5;66.8;60.1;2021-05-26
205;2021-05-28T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248680-daily;63.4;61.8;69.3;69.4;62.1;2021-05-27
209;2021-06-01T00:00:29+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.3;60.3;62.9;61.8;54.5;2021-05-31
212;2021-06-04T00:00:37+00:00;/sonometros;NoiseLevelObserved;T248680-daily;62.1;62.6;66.5;66.2;58.4;2021-06-03
216;2021-06-08T00:00:48+00:00;/sonometros;NoiseLevelObserved;T248680-daily;61.6;63.3;63.9;60.6;54.4;2021-06-07
223;2021-06-15T00:00:24+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.1;60.6;62.1;59.1;53.5;2021-06-14
224;2021-06-16T00:00:22+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.1;60.2;62.4;61.6;53.5;2021-06-15
225;2021-06-17T00:00:22+00:00;/sonometros;NoiseLevelObserved;T248680-daily;60.6;60.9;64.7;65.2;56.2;2021-06-16
229;2021-06-21T00:00:25+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.8;58.8;66.8;62.0;60.7;2021-06-20
235;2021-08-30T00:00:57+00:00;/sonometros;NoiseLevelObserved;T248680-daily;60.1;59.5;66.2;64.0;59.5;2021-08-29
239;2021-09-03T00:01:07+00:00;/sonometros;NoiseLevelObserved;T248680-daily;74.5;72.6;80.1;81.8;71.9;2021-09-02
244;2021-09-08T00:00:20+00:00;/sonometros;NoiseLevelObserved;T248680-daily;60.0;61.3;63.5;60.9;55.3;2021-09-07
245;2021-09-09T00:00:24+00:00;/sonometros;NoiseLevelObserved;T248680-daily;61.3;62.5;64.4;64.4;54.7;2021-09-08
250;2021-09-14T00:00:38+00:00;/sonometros;NoiseLevelObserved;T248680-daily;61.4;63.1;64.0;59.6;55.2;2021-09-13
286;2021-09-18T00:00:49+00:00;/sonometros;NoiseLevelObserved;T248680-daily;65.1;64.0;70.7;71.0;63.2;2021-09-17
288;2021-09-20T00:00:54+00:00;/sonometros;NoiseLevelObserved;T248680-daily;61.1;59.8;68.4;62.7;62.4;2021-09-19
323;2021-09-23T00:01:04+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.9;61.1;63.3;61.7;54.7;2021-09-22
324;2021-09-24T00:00:12+00:00;/sonometros;NoiseLevelObserved;T248680-daily;62.4;62.7;66.6;67.1;58.1;2021-09-23
361;2021-09-29T00:00:20+00:00;/sonometros;NoiseLevelObserved;T248680-daily;60.6;62.1;63.6;60.5;54.9;2021-09-28
371;2021-10-09T00:00:46+00:00;/sonometros;NoiseLevelObserved;T248680-daily;64.4;63.5;70.2;69.9;62.9;2021-10-08
376;2021-10-14T00:00:02+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.8;61.1;62.7;61.4;53.5;2021-10-13
410;2021-10-16T00:00:14+00:00;/sonometros;NoiseLevelObserved;T248680-daily;62.3;62.2;67.5;66.8;60.1;2021-10-15
411;2021-10-17T00:00:09+00:00;/sonometros;NoiseLevelObserved;T248680-daily;65.2;65.6;70.2;67.9;63.0;2021-10-16
412;2021-10-18T00:00:13+00:00;/sonometros;NoiseLevelObserved;T248680-daily;60.2;60.0;66.6;60.5;60.5;2021-10-17
413;2021-10-19T00:00:14+00:00;/sonometros;NoiseLevelObserved;T248680-daily;60.5;62.2;63.0;60.4;53.5;2021-10-18
414;2021-10-20T00:00:17+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.8;61.3;62.8;60.3;53.9;2021-10-19
422;2021-10-28T00:00:37+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.8;61.3;62.4;60.4;53.1;2021-10-27
455;2021-10-29T00:00:39+00:00;/sonometros;NoiseLevelObserved;T248680-daily;61.1;61.9;64.7;64.8;55.8;2021-10-28
523;2021-11-02T09:12:01+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.8;60.5;64.7;60.8;57.8;2021-11-01
556;2021-11-03T00:00:53+00:00;/sonometros;NoiseLevelObserved;T248680-daily;60.1;61.9;62.3;58.5;52.6;2021-11-02
659;2021-11-10T00:00:26+00:00;/sonometros;NoiseLevelObserved;T248680-daily;58.7;60.2;61.6;59.0;52.7;2021-11-09
693;2021-11-12T00:00:16+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.9;61.1;63.6;61.7;55.3;2021-11-11
695;2021-11-14T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248680-daily;63.8;64.3;68.4;67.4;60.7;2021-11-13
696;2021-11-15T00:00:22+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.9;60.8;64.8;59.4;58.0;2021-11-14
697;2021-11-16T00:00:25+00:00;/sonometros;NoiseLevelObserved;T248680-daily;60.3;62.1;62.6;58.2;53.1;2021-11-15
699;2021-11-18T00:00:31+00:00;/sonometros;NoiseLevelObserved;T248680-daily;60.7;62.4;63.1;60.0;53.5;2021-11-17
701;2021-11-20T00:00:36+00:00;/sonometros;NoiseLevelObserved;T248680-daily;62.7;62.5;67.6;68.0;59.6;2021-11-19
703;2021-11-22T00:00:40+00:00;/sonometros;NoiseLevelObserved;T248680-daily;62.4;63.8;66.0;60.8;58.3;2021-11-21
705;2021-11-24T00:00:46+00:00;/sonometros;NoiseLevelObserved;T248680-daily;61.2;63.1;63.6;57.2;54.7;2021-11-23
738;2021-11-25T00:00:48+00:00;/sonometros;NoiseLevelObserved;T248680-daily;61.6;63.6;63.1;58.0;52.0;2021-11-24
742;2021-11-29T00:00:58+00:00;/sonometros;NoiseLevelObserved;T248680-daily;57.6;58.1;63.0;57.4;56.5;2021-11-28
744;2021-12-01T00:00:05+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.2;60.9;61.4;59.0;51.4;2021-11-30
745;2021-12-02T00:00:06+00:00;/sonometros;NoiseLevelObserved;T248680-daily;58.9;60.5;61.4;58.4;52.2;2021-12-01
746;2021-12-03T00:00:08+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.1;60.5;62.3;59.8;53.7;2021-12-02
748;2021-12-05T00:00:13+00:00;/sonometros;NoiseLevelObserved;T248680-daily;63.1;63.9;67.3;65.5;59.6;2021-12-04
749;2021-12-06T00:00:17+00:00;/sonometros;NoiseLevelObserved;T248680-daily;60.0;60.8;64.5;62.2;57.1;2021-12-05
753;2021-12-10T00:00:25+00:00;/sonometros;NoiseLevelObserved;T248680-daily;58.6;60.3;61.0;58.7;51.3;2021-12-09
754;2021-12-11T00:00:26+00:00;/sonometros;NoiseLevelObserved;T248680-daily;63.2;64.4;66.5;65.4;57.7;2021-12-10
790;2021-12-15T00:00:37+00:00;/sonometros;NoiseLevelObserved;T248680-daily;63.7;65.8;64.7;59.6;51.8;2021-12-14
792;2021-12-17T00:00:42+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.7;60.9;63.2;61.9;54.6;2021-12-16
796;2021-12-21T00:00:50+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.5;61.0;62.5;60.2;53.7;2021-12-20
797;2021-12-22T00:00:54+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.7;61.4;61.9;58.9;52.1;2021-12-21
801;2021-12-26T00:00:04+00:00;/sonometros;NoiseLevelObserved;T248680-daily;57.2;57.5;62.4;60.0;55.3;2021-12-25
803;2021-12-28T00:00:10+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.5;60.5;63.4;61.1;55.5;2021-12-27
806;2022-01-05T17:22:47+00:00;/sonometros;NoiseLevelObserved;T248680-daily;58.2;59.8;60.8;58.3;51.5;2022-01-04
813;2022-01-12T00:00:45+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.8;61.5;62.1;59.1;52.3;2022-01-11
819;2022-01-18T00:00:01+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.3;61.2;61.2;56.1;51.2;2022-01-17
824;2022-01-23T00:00:13+00:00;/sonometros;NoiseLevelObserved;T248680-daily;64.0;65.1;67.5;66.5;58.8;2022-01-22
825;2022-01-24T00:00:15+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.5;59.9;65.2;59.8;58.7;2022-01-23
826;2022-01-25T00:00:17+00:00;/sonometros;NoiseLevelObserved;T248680-daily;61.1;63.1;62.6;56.9;51.9;2022-01-24
863;2022-01-30T00:00:28+00:00;/sonometros;NoiseLevelObserved;T248680-daily;64.3;64.8;68.4;69.0;59.6;2022-01-29
868;2022-02-04T00:00:52+00:00;/sonometros;NoiseLevelObserved;T248680-daily;63.5;65.1;65.5;64.9;54.1;2022-02-03
870;2022-02-06T00:00:45+00:00;/sonometros;NoiseLevelObserved;T248680-daily;66.3;67.1;70.8;68.8;63.2;2022-02-05
871;2022-02-07T00:00:48+00:00;/sonometros;NoiseLevelObserved;T248680-daily;60.7;61.2;66.4;60.0;60.0;2022-02-06
876;2022-02-12T00:00:01+00:00;/sonometros;NoiseLevelObserved;T248680-daily;63.5;64.4;67.1;66.6;58.5;2022-02-11
878;2022-02-14T00:00:26+00:00;/sonometros;NoiseLevelObserved;T248680-daily;59.7;60.3;65.1;58.6;58.7;2022-02-13
880;2022-02-16T00:01:10+00:00;/sonometros;NoiseLevelObserved;T248680-daily;58.9;60.6;61.3;58.5;51.8;2022-02-15
882;2022-02-18T00:00:16+00:00;/sonometros;NoiseLevelObserved;T248680-daily;61.7;62.4;65.1;66.4;55.1;2022-02-17
887;2022-02-23T00:00:27+00:00;/sonometros;NoiseLevelObserved;T248680-daily;60.5;62.2;62.4;60.9;51.4;2022-02-22
889;2022-02-25T00:00:32+00:00;/sonometros;NoiseLevelObserved;T248680-daily;61.9;63.3;64.5;63.5;54.8;2022-02-24
890;2022-02-26T00:00:35+00:00;/sonometros;NoiseLevelObserved;T248680-daily;64.8;64.8;69.5;70.0;61.4;2022-02-25
891;2022-02-27T00:00:41+00:00;/sonometros;NoiseLevelObserved;T248680-daily;65.9;65.8;71.5;69.6;64.6;2022-02-26
897;2022-03-05T00:00:52+00:00;/sonometros;NoiseLevelObserved;T248680-daily;63.0;63.6;67.6;66.2;59.9;2022-03-04
