id;recvtime;fiwareservicepath;entitytype;entityid;laeq;laeq_d;laeq_den;laeq_e;laeq_n;dateobserved
1;2020-11-18T13:40:52+00:00;/sonometros;NoiseLevelObserved;T248677-daily;60.3;62.1;62.2;59.5;51.7;2020-11-17
2;2020-11-19T00:00:10+00:00;/sonometros;NoiseLevelObserved;T248677-daily;61.7;63.4;63.6;62.1;52.6;2020-11-18
9;2020-11-26T00:00:33+00:00;/sonometros;NoiseLevelObserved;T248677-daily;61.3;63.1;63.2;60.9;52.3;2020-11-25
16;2020-09-29T06:31:17+00:00;/sonometros;NoiseLevelObserved;T248677-daily;59.8;61.4;62.4;60.5;52.7;2020-09-28
22;2020-10-05T00:00:20+00:00;/sonometros;NoiseLevelObserved;T248677-daily;59.1;60.4;63.0;58.4;55.5;2020-10-04
25;2020-10-08T00:00:27+00:00;/sonometros;NoiseLevelObserved;T248677-daily;60.2;61.2;63.4;64.3;53.2;2020-10-07
33;2020-10-16T00:00:46+00:00;/sonometros;NoiseLevelObserved;T248677-daily;59.8;61.5;62.4;58.7;53.3;2020-10-15
34;2020-10-17T00:00:48+00:00;/sonometros;NoiseLevelObserved;T248677-daily;63.6;64.4;67.1;67.5;57.8;2020-10-16
36;2020-10-19T00:00:52+00:00;/sonometros;NoiseLevelObserved;T248677-daily;59.6;60.7;63.8;58.7;56.6;2020-10-18
39;2020-10-22T00:00:00+00:00;/sonometros;NoiseLevelObserved;T248677-daily;60.1;61.6;62.9;61.6;53.4;2020-10-21
45;2020-10-28T00:00:17+00:00;/sonometros;NoiseLevelObserved;T248677-daily;60.2;62.0;62.1;59.8;51.4;2020-10-27
52;2020-11-04T00:00:28+00:00;/sonometros;NoiseLevelObserved;T248677-daily;60.9;62.8;62.4;59.5;50.9;2020-11-03
53;2020-11-05T00:00:30+00:00;/sonometros;NoiseLevelObserved;T248677-daily;60.4;61.7;64.0;61.4;55.8;2020-11-04
55;2020-11-07T00:00:35+00:00;/sonometros;NoiseLevelObserved;T248677-daily;62.0;62.9;65.3;65.7;55.9;2020-11-06
58;2020-11-10T00:00:41+00:00;/sonometros;NoiseLevelObserved;T248677-daily;59.7;61.5;61.9;58.7;51.9;2020-11-09
59;2020-11-11T00:00:43+00:00;/sonometros;NoiseLevelObserved;T248677-daily;61.1;63.0;62.8;59.5;52.0;2020-11-10
67;2020-11-28T00:00:37+00:00;/sonometros;NoiseLevelObserved;T248677-daily;66.4;68.5;67.2;60.9;53.8;2020-11-27
70;2020-12-01T00:00:45+00:00;/sonometros;NoiseLevelObserved;T248677-daily;60.2;62.0;62.3;58.8;52.4;2020-11-30
72;2020-12-03T00:00:48+00:00;/sonometros;NoiseLevelObserved;T248677-daily;59.7;61.4;62.2;58.4;53.1;2020-12-02
77;2020-12-08T00:00:58+00:00;/sonometros;NoiseLevelObserved;T248677-daily;60.3;62.0;62.9;60.3;53.4;2020-12-07
79;2020-12-10T00:00:19+00:00;/sonometros;NoiseLevelObserved;T248677-daily;60.8;62.0;63.2;64.2;51.6;2020-12-09
81;2020-12-12T00:00:25+00:00;/sonometros;NoiseLevelObserved;T248677-daily;62.9;63.9;66.1;65.9;56.8;2020-12-11
89;2020-12-20T00:00:42+00:00;/sonometros;NoiseLevelObserved;T248677-daily;64.3;64.7;67.5;70.1;55.4;2020-12-19
90;2020-12-21T00:00:44+00:00;/sonometros;NoiseLevelObserved;T248677-daily;60.8;62.7;62.3;57.9;51.4;2020-12-20
97;2020-12-28T00:00:15+00:00;/sonometros;NoiseLevelObserved;T248677-daily;61.3;63.3;62.3;59.9;47.9;2020-12-27
98;2020-12-29T00:01:16+00:00;/sonometros;NoiseLevelObserved;T248677-daily;59.4;61.0;61.7;60.8;51.1;2020-12-28
99;2020-12-30T00:00:18+00:00;/sonometros;NoiseLevelObserved;T248677-daily;62.8;64.8;63.8;60.0;50.4;2020-12-29
102;2021-01-02T00:00:23+00:00;/sonometros;NoiseLevelObserved;T248677-daily;56.0;57.1;59.6;58.3;51.2;2021-01-01
104;2021-01-04T00:00:27+00:00;/sonometros;NoiseLevelObserved;T248677-daily;59.3;61.3;60.6;58.5;47.5;2021-01-03
107;2021-01-07T00:00:33+00:00;/sonometros;NoiseLevelObserved;T248677-daily;58.9;60.8;60.8;58.2;50.0;2021-01-06
109;2021-01-09T00:00:38+00:00;/sonometros;NoiseLevelObserved;T248677-daily;61.4;63.2;63.5;61.0;53.1;2021-01-08
114;2021-01-14T00:00:46+00:00;/sonometros;NoiseLevelObserved;T248677-daily;61.3;63.2;63.0;59.3;52.1;2021-01-13
115;2021-01-15T00:00:48+00:00;/sonometros;NoiseLevelObserved;T248677-daily;61.4;63.3;63.2;59.8;52.5;2021-01-14
116;2021-01-16T00:00:50+00:00;/sonometros;NoiseLevelObserved;T248677-daily;60.8;62.6;62.6;59.5;52.0;2021-01-15
117;2021-01-17T00:01:53+00:00;/sonometros;NoiseLevelObserved;T248677-daily;62.1;64.2;63.2;59.4;50.1;2021-01-16
120;2021-01-20T00:00:59+00:00;/sonometros;NoiseLevelObserved;T248677-daily;61.4;63.3;63.3;59.8;52.8;2021-01-19
123;2021-01-23T00:00:07+00:00;/sonometros;NoiseLevelObserved;T248677-daily;60.9;62.9;62.1;58.5;49.7;2021-01-22
124;2021-01-24T00:00:09+00:00;/sonometros;NoiseLevelObserved;T248677-daily;59.1;61.0;60.8;58.5;49.3;2021-01-23
126;2021-01-26T00:01:12+00:00;/sonometros;NoiseLevelObserved;T248677-daily;60.0;61.9;62.0;58.2;51.9;2021-01-25
127;2021-01-27T00:00:17+00:00;/sonometros;NoiseLevelObserved;T248677-daily;60.4;62.3;62.5;58.9;52.3;2021-01-26
129;2021-01-29T00:00:20+00:00;/sonometros;NoiseLevelObserved;T248677-daily;60.2;62.0;62.0;58.4;51.7;2021-01-28
