estacion_id,estacion_nombre,sensor_id,sensor_alias,sensor_nombre,fecha_observacion,metrica,valor
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-01,total,
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-01,media,1.03083
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-01,minimo,0.0
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-01,maximo,1.9
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-02,total,
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-02,media,1.10577
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-02,minimo,0.0
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-02,maximo,2.4
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-03,total,
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-03,media,1.13784
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-03,minimo,0.0
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-03,maximo,2.2
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-04,total,
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-04,media,1.06126
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-04,minimo,0.0
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-04,maximo,1.8
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-05,total,
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-05,media,1.45948
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-05,minimo,0.0
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-05,maximo,2.3
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-06,total,
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-06,media,1.38583
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-06,minimo,0.0
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-06,maximo,2.0
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-07,total,
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-07,media,1.5075
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-07,minimo,0.0
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-07,maximo,2.5
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-08,total,
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-08,media,1.24917
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-08,minimo,0.0
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-08,maximo,2.1
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-09,total,
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-09,media,1.54167
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-09,minimo,0.0
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-09,maximo,2.2
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-10,total,
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-10,media,1.73167
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-10,minimo,0.0
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-10,maximo,2.4
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-11,total,
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-11,media,1.65083
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-11,minimo,0.0
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-11,maximo,2.3
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-12,total,
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-12,media,1.50833
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-12,minimo,0.0
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-12,maximo,2.2
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-13,total,
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-13,media,1.32667
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-13,minimo,0.0
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-13,maximo,2.2
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-14,total,
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-14,media,1.235
87,AGUAMANSA_MA,656,WSP,Velocidad del viento,2013-01-14,minimo,0.0
