estacion_id,estacion_nombre,sensor_id,sensor_alias,sensor_nombre,fecha_observacion,metrica,valor
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-01,total,
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-01,media,0.375
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-01,minimo,0.0
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-01,maximo,1.0
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-02,total,
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-02,media,0.146667
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-02,minimo,0.0
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-02,maximo,0.7
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-03,total,
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-03,media,0.278333
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-03,minimo,0.0
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-03,maximo,1.2
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-04,total,
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-04,media,0.793333
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-04,minimo,0.0
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-04,maximo,2.4
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-05,total,
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-05,media,0.159167
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-05,minimo,0.0
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-05,maximo,0.8
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-06,total,
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-06,media,0.0791667
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-06,minimo,0.0
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-06,maximo,0.8
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-07,total,
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-07,media,0.0491667
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-07,minimo,0.0
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-07,maximo,0.7
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-08,total,
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-08,media,0.228333
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-08,minimo,0.0
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-08,maximo,1.6
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-09,total,
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-09,media,0.1625
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-09,minimo,0.0
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-09,maximo,1.6
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-10,total,
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-10,media,0.530833
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-10,minimo,0.0
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-10,maximo,1.6
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-11,total,
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-11,media,0.155833
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-11,minimo,0.0
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-11,maximo,0.8
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-12,total,
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-12,media,0.274167
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-12,minimo,0.0
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-12,maximo,1.1
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-13,total,
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-13,media,0.806667
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-13,minimo,0.0
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-13,maximo,2.1
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-14,total,
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-14,media,1.32083
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-14,minimo,0.0
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-14,maximo,2.1
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-15,total,
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-15,media,0.6775
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-15,minimo,0.0
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-15,maximo,1.9
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-16,total,
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-16,media,0.625833
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-16,minimo,0.0
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-16,maximo,2.2
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-17,total,
12,GUAN1HA1,546,WSP,Velocidad del viento,2014-01-17,media,0.344167
