estacion_id,estacion_nombre,sensor_id,sensor_alias,sensor_nombre,fecha_observacion,metrica,valor
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-01,total,
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-01,media,0.731944
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-01,minimo,0.0
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-01,maximo,1.4
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-02,total,
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-02,media,0.677083
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-02,minimo,0.0
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-02,maximo,1.6
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-03,total,
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-03,media,0.676389
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-03,minimo,0.0
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-03,maximo,1.1
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-04,total,
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-04,media,0.553472
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-04,minimo,0.0
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-04,maximo,1.5
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-05,total,
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-05,media,1.0
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-05,minimo,0.0
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-05,maximo,2.3
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-06,total,
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-06,media,0.538194
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-06,minimo,0.0
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-06,maximo,1.9
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-07,total,
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-07,media,0.900694
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-07,minimo,0.0
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-07,maximo,3.5
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-08,total,
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-08,media,1.09792
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-08,minimo,0.0
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-08,maximo,3.0
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-09,total,
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-09,media,0.770139
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-09,minimo,0.0
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-09,maximo,2.9
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-10,total,
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-10,media,0.743056
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-10,minimo,0.0
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-10,maximo,2.7
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-11,total,
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-11,media,0.804167
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-11,minimo,0.0
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-11,maximo,2.2
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-12,total,
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-12,media,0.443056
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-12,minimo,0.0
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-12,maximo,1.5
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-13,total,
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-13,media,0.529861
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-13,minimo,0.0
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-13,maximo,2.0
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-14,total,
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-14,media,0.853472
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-14,minimo,0.0
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-14,maximo,2.1
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-15,total,
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-15,media,0.944444
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-15,minimo,0.0
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-15,maximo,1.9
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-16,total,
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-16,media,0.821528
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-16,minimo,0.0
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-16,maximo,1.8
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-17,total,
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-17,media,0.631944
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-17,minimo,0.0
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-17,maximo,1.5
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-18,total,
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-18,media,0.405556
7,OROTAV01,666,WSP,Velocidad del viento,2020-01-18,minimo,0.0
