estacion_id,estacion_nombre,sensor_id,sensor_alias,sensor_nombre,fecha_observacion,metrica,valor
73,REDONTH,586,WSP,Velocidad del viento,2023-01-01,total,
73,REDONTH,586,WSP,Velocidad del viento,2023-01-01,media,1.02778
73,REDONTH,586,WSP,Velocidad del viento,2023-01-01,minimo,0.0
73,REDONTH,586,WSP,Velocidad del viento,2023-01-01,maximo,1.6
73,REDONTH,586,WSP,Velocidad del viento,2023-01-02,total,
73,REDONTH,586,WSP,Velocidad del viento,2023-01-02,media,1.00972
73,REDONTH,586,WSP,Velocidad del viento,2023-01-02,minimo,0.0
73,REDONTH,586,WSP,Velocidad del viento,2023-01-02,maximo,1.7
73,REDONTH,586,WSP,Velocidad del viento,2023-01-03,total,
73,REDONTH,586,WSP,Velocidad del viento,2023-01-03,media,1.04653
73,REDONTH,586,WSP,Velocidad del viento,2023-01-03,minimo,0.1
73,REDONTH,586,WSP,Velocidad del viento,2023-01-03,maximo,1.6
73,REDONTH,586,WSP,Velocidad del viento,2023-01-04,total,
73,REDONTH,586,WSP,Velocidad del viento,2023-01-04,media,1.30174
73,REDONTH,586,WSP,Velocidad del viento,2023-01-04,minimo,0.1
73,REDONTH,586,WSP,Velocidad del viento,2023-01-04,maximo,1.8
73,REDONTH,586,WSP,Velocidad del viento,2023-01-05,total,
73,REDONTH,586,WSP,Velocidad del viento,2023-01-05,media,1.32708
73,REDONTH,586,WSP,Velocidad del viento,2023-01-05,minimo,0.1
73,REDONTH,586,WSP,Velocidad del viento,2023-01-05,maximo,1.8
73,REDONTH,586,WSP,Velocidad del viento,2023-01-06,total,
73,REDONTH,586,WSP,Velocidad del viento,2023-01-06,media,1.3
73,REDONTH,586,WSP,Velocidad del viento,2023-01-06,minimo,0.3
73,REDONTH,586,WSP,Velocidad del viento,2023-01-06,maximo,1.8
73,REDONTH,586,WSP,Velocidad del viento,2023-01-07,total,
73,REDONTH,586,WSP,Velocidad del viento,2023-01-07,media,1.34514
73,REDONTH,586,WSP,Velocidad del viento,2023-01-07,minimo,0.0
73,REDONTH,586,WSP,Velocidad del viento,2023-01-07,maximo,1.9
73,REDONTH,586,WSP,Velocidad del viento,2023-01-08,total,
73,REDONTH,586,WSP,Velocidad del viento,2023-01-08,media,1.18958
73,REDONTH,586,WSP,Velocidad del viento,2023-01-08,minimo,0.0
73,REDONTH,586,WSP,Velocidad del viento,2023-01-08,maximo,1.9
73,REDONTH,586,WSP,Velocidad del viento,2023-01-09,total,
73,REDONTH,586,WSP,Velocidad del viento,2023-01-09,media,1.31296
73,REDONTH,586,WSP,Velocidad del viento,2023-01-09,minimo,0.5
73,REDONTH,586,WSP,Velocidad del viento,2023-01-09,maximo,2.3
73,REDONTH,586,WSP,Velocidad del viento,2023-01-10,total,
73,REDONTH,586,WSP,Velocidad del viento,2023-01-10,media,0.998611
73,REDONTH,586,WSP,Velocidad del viento,2023-01-10,minimo,0.0
73,REDONTH,586,WSP,Velocidad del viento,2023-01-10,maximo,2.0
73,REDONTH,586,WSP,Velocidad del viento,2023-01-11,total,
73,REDONTH,586,WSP,Velocidad del viento,2023-01-11,media,0.799306
73,REDONTH,586,WSP,Velocidad del viento,2023-01-11,minimo,0.0
73,REDONTH,586,WSP,Velocidad del viento,2023-01-11,maximo,1.6
73,REDONTH,586,WSP,Velocidad del viento,2023-01-12,total,
73,REDONTH,586,WSP,Velocidad del viento,2023-01-12,media,1.04514
73,REDONTH,586,WSP,Velocidad del viento,2023-01-12,minimo,0.3
73,REDONTH,586,WSP,Velocidad del viento,2023-01-12,maximo,2.0
73,REDONTH,586,WSP,Velocidad del viento,2023-01-13,total,
73,REDONTH,586,WSP,Velocidad del viento,2023-01-13,media,0.983036
73,REDONTH,586,WSP,Velocidad del viento,2023-01-13,minimo,0.2
73,REDONTH,586,WSP,Velocidad del viento,2023-01-13,maximo,1.5
73,REDONTH,586,WSP,Velocidad del viento,2023-01-14,total,
73,REDONTH,586,WSP,Velocidad del viento,2023-01-14,media,1.20625
73,REDONTH,586,WSP,Velocidad del viento,2023-01-14,minimo,0.0
73,REDONTH,586,WSP,Velocidad del viento,2023-01-14,maximo,1.9
73,REDONTH,586,WSP,Velocidad del viento,2023-01-15,total,
73,REDONTH,586,WSP,Velocidad del viento,2023-01-15,media,1.16389
