estacion_id,estacion_nombre,sensor_id,sensor_alias,sensor_nombre,fecha_observacion,metrica,valor
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-01,total,
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-01,media,1.00667
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-01,minimo,0.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-01,maximo,3.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-02,total,
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-02,media,0.795
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-02,minimo,0.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-02,maximo,1.7
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-03,total,
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-03,media,0.936667
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-03,minimo,0.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-03,maximo,1.6
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-04,total,
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-04,media,1.46583
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-04,minimo,0.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-04,maximo,4.4
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-05,total,
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-05,media,1.09333
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-05,minimo,0.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-05,maximo,2.4
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-06,total,
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-06,media,0.815833
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-06,minimo,0.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-06,maximo,1.3
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-07,total,
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-07,media,0.643333
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-07,minimo,0.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-07,maximo,2.3
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-08,total,
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-08,media,1.0975
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-08,minimo,0.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-08,maximo,2.5
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-09,total,
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-09,media,1.12
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-09,minimo,0.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-09,maximo,2.9
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-10,total,
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-10,media,1.51417
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-10,minimo,0.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-10,maximo,2.7
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-11,total,
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-11,media,1.1325
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-11,minimo,0.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-11,maximo,2.5
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-12,total,
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-12,media,1.0675
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-12,minimo,0.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-12,maximo,1.8
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-13,total,
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-13,media,1.01333
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-13,minimo,0.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-13,maximo,1.9
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-14,total,
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-14,media,1.3575
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-14,minimo,0.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-14,maximo,2.6
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-15,total,
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-15,media,1.15583
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-15,minimo,0.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-15,maximo,2.3
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-16,total,
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-16,media,1.30833
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-16,minimo,0.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-16,maximo,2.8
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-17,total,
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-17,media,2.7625
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-17,minimo,0.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-17,maximo,5.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-18,total,
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-18,media,3.15167
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-18,minimo,1.3
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-18,maximo,4.9
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-19,total,
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-19,media,1.85333
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-19,minimo,0.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-19,maximo,4.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-20,total,
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-20,media,1.01333
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-20,minimo,0.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-20,maximo,2.5
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-21,total,
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-21,media,0.748333
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-21,minimo,0.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-21,maximo,2.1
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-22,total,
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-22,media,1.14167
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-22,minimo,0.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-22,maximo,3.2
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-23,total,
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-23,media,2.12083
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-23,minimo,0.6
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-23,maximo,3.8
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-24,total,
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-24,media,1.5225
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-24,minimo,0.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-24,maximo,4.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-25,total,
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-25,media,1.90167
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-25,minimo,0.0
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-25,maximo,3.9
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-26,total,
82,URSUMEDI,696,WSP,Velocidad del viento,2014-01-26,media,1.67917
