estacion_id,estacion_nombre,sensor_id,sensor_alias,sensor_nombre,fecha_observacion,metrica,valor
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-01,total,
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-01,media,3.23333
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-01,minimo,0.0
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-01,maximo,6.4
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-02,total,
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-02,media,3.1575
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-02,minimo,0.0
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-02,maximo,6.5
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-03,total,
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-03,media,4.02333
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-03,minimo,1.8
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-03,maximo,6.9
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-04,total,
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-04,media,4.12333
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-04,minimo,1.2
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-04,maximo,6.2
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-05,total,
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-05,media,1.85167
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-05,minimo,0.0
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-05,maximo,4.7
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-06,total,
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-06,media,1.76083
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-06,minimo,0.0
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-06,maximo,4.1
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-07,total,
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-07,media,1.46333
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-07,minimo,0.0
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-07,maximo,3.3
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-08,total,
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-08,media,2.09167
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-08,minimo,0.0
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-08,maximo,6.9
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-09,total,
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-09,media,3.82583
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-09,minimo,0.8
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-09,maximo,7.5
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-10,total,
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-10,media,3.005
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-10,minimo,0.0
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-10,maximo,6.7
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-11,total,
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-11,media,5.30833
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-11,minimo,2.0
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-11,maximo,10.1
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-12,total,
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-12,media,2.88083
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-12,minimo,0.0
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-12,maximo,9.3
13,VILAFLOR,305,WSP,Velocidad del viento,2015-01-13,total,
