FID,groupname,description,enable,group_parent_id,type,pt,subtype,layer
inventory_groups.666,ESCALERA,,1,569,LOC,,0,
inventory_groups.157,Usos Multiples,,1,2,LOC,POINT (-5.786517080723425 38.973792536227286),0,
inventory_groups.170,TEMPERATURA,,1,169,CON,,0,null
inventory_groups.176,HUMEDAD,,1,169,CON,,0,null
inventory_groups.169,Temperatura y Humedad,,1,157,LOG,POINT (-5.786536987743458 38.97377376906681),6,null
inventory_groups.195,Temperatura y Humedad,,1,159,LOG,POINT (-5.786662381014903 38.973636664382454),6,null
inventory_groups.159,Piscinas,,1,2,LOC,POINT (-5.786680695473333 38.97360590702141),0,
inventory_groups.205,HUMEDAD,,1,195,CON,,0,null
inventory_groups.221,ARMONICOS_TENSION,,1,217,COS,,0,null
inventory_groups.217,Analizador General,,1,2,LOG,POINT (-5.786357525822645 38.97375711998078),1,null
inventory_groups.196,TEMPERATURA,,1,195,CON,,0,null
inventory_groups.219,FACTOR_POTENCIA,,1,217,COS,,0,null
inventory_groups.222,ARMONICOS_INTENSIDAD,,1,217,COS,,0,null
inventory_groups.220,ENERGIA_REACTIVA,,1,217,COS,,0,null
inventory_groups.227,ARMONICOS_TENSION,,1,223,COS,,0,null
inventory_groups.223,Analizador Climatizadores,,1,2,LOG,,1,null
inventory_groups.218,POTENCIA_ACTIVA,,1,217,COS,,0,null
inventory_groups.224,POTENCIA_ACTIVA,,1,223,COS,,0,null
inventory_groups.226,ENERGIA_REACTIVA,,1,223,COS,,0,null
inventory_groups.228,ARMONICOS_INTENSIDAD,,1,223,COS,,0,null
inventory_groups.225,FACTOR_POTENCIA,,1,223,COS,,0,null
inventory_groups.230,POTENCIA_ACTIVA,,1,229,COS,,0,null
inventory_groups.229,Analizador Cafeteria,,1,2,LOG,,1,null
inventory_groups.232,FACTOR_POTENCIA,,1,229,COS,,0,null
inventory_groups.235,ARMONICOS_INTENSIDAD,,1,229,COS,,0,null
inventory_groups.234,ARMONICOS_TENSION,,1,229,COS,,0,null
inventory_groups.233,ENERGIA_REACTIVA,,1,229,COS,,0,null
inventory_groups.236,Analizador Piscina Grande,,1,2,LOG,POINT (-5.786164838823267 38.9738719658672),1,null
inventory_groups.239,ENERGIA_REACTIVA,,1,236,COS,,0,null
inventory_groups.238,FACTOR_POTENCIA,,1,236,COS,,0,null
inventory_groups.237,POTENCIA_ACTIVA,,1,236,COS,,0,null
inventory_groups.241,ARMONICOS_INTENSIDAD,,1,236,COS,,0,null
inventory_groups.240,ARMONICOS_TENSION,,1,236,COS,,0,null
inventory_groups.242,Analizador Piscina Pequeña,,1,2,LOG,,1,null
inventory_groups.245,ENERGIA_REACTIVA,,1,242,COS,,0,null
inventory_groups.244,FACTOR_POTENCIA,,1,242,COS,,0,null
inventory_groups.243,POTENCIA_ACTIVA,,1,242,COS,,0,null
inventory_groups.246,ARMONICOS_TENSION,,1,242,COS,,0,null
inventory_groups.249,POTENCIA_ACTIVA,,1,248,COS,,0,null
inventory_groups.248,Analizador Usos Multiples,,1,2,LOG,,1,null
inventory_groups.247,ARMONICOS_INTENSIDAD,,1,242,COS,,0,null
inventory_groups.251,ENERGIA_REACTIVA,,1,248,COS,,0,null
inventory_groups.250,FACTOR_POTENCIA,,1,248,COS,,0,null
inventory_groups.252,ARMONICOS_TENSION,,1,248,COS,,0,null
inventory_groups.253,ARMONICOS_INTENSIDAD,,1,248,COS,,0,null
inventory_groups.503,Analizador Fancoils_Despachos,,1,2,LOG,,1,null
inventory_groups.509,Analizador Despachos_Aseos,,1,2,LOG,,1,null
inventory_groups.512,ENERGIA_REACTIVA,,1,509,COS,,0,null
inventory_groups.510,POTENCIA_ACTIVA,,1,509,COS,,0,null
inventory_groups.7,Iberdrola,,1,1,LOC,POINT (-5.800338791769873 38.97394374878823),0,
inventory_groups.118,Calefacción Gas,,1,7,LOG,POINT (-5.80040517644299 38.97374043805227),2,null
inventory_groups.127,T_RENDIMIENTO_GEN,,1,118,COS,,0,null
inventory_groups.125,T_CAUDAL,,1,118,COS,,0,null
inventory_groups.75,Temperatura y Humedad,,1,74,LOG,POINT (-5.800396887636412 38.97384412770276),6,null
inventory_groups.76,TEMPERATURA,,1,75,CON,,0,null
inventory_groups.20,Temperatura y Humedad,,1,8,LOG,POINT (-5.800617445337901 38.97383265207463),6,null
inventory_groups.82,HUMEDAD,,1,75,CON,,0,null
inventory_groups.122,T_POTENCIA_TERMICA_UTIL,,1,118,COS,,0,null
inventory_groups.120,T_POTENCIA_TERMICA_ABSORBIDA,,1,118,COS,,0,null
inventory_groups.511,FACTOR_POTENCIA,,1,509,COS,,0,null
inventory_groups.8,Servicios Sociales,,1,9,LOC,,0,
inventory_groups.9,Planta Primera,,1,7,LOC,,0,
inventory_groups.21,TEMPERATURA,,1,20,CON,,0,null
inventory_groups.10,Azotea,,1,7,LOC,,0,
inventory_groups.27,HUMEDAD,,1,20,CON,,0,null
inventory_groups.74,TH Ambiente,,1,10,LOC,POINT (-5.800453068712031 38.97386550710245),0,
inventory_groups.121,T_TEMPERATURA_RETORNO,,1,118,COS,,0,null
inventory_groups.126,T_TEMPERATURA_IMPULSION,,1,118,COS,,0,null
inventory_groups.2,Piscina,,1,1,LOC,POINT (-5.7858670503943035 38.97376136108997),0,
inventory_groups.569,BibliotecaPublica,biblioteca,1,1,LOC,,0,
inventory_groups.576,AR2-PLBAJA,,1,569,LOG,,1,null
inventory_groups.577,POTENCIA_ACTIVA,,1,576,COS,,0,null
inventory_groups.578,FACTOR_POTENCIA,,1,576,COS,,0,null
inventory_groups.579,ENERGIA_REACTIVA,,1,576,COS,,0,null
inventory_groups.580,ARMONICOS_TENSION,,1,576,COS,,0,null
inventory_groups.581,ARMONICOS_INTENSIDAD,,1,576,COS,,0,null
inventory_groups.582,AR3-PLPRIMERA,,1,569,LOG,,1,null
inventory_groups.583,POTENCIA_ACTIVA,,1,582,COS,,0,null
inventory_groups.584,FACTOR_POTENCIA,,1,582,COS,,0,null
inventory_groups.585,ENERGIA_REACTIVA,,1,582,COS,,0,null
inventory_groups.586,ARMONICOS_TENSION,,1,582,COS,,0,null
inventory_groups.587,ARMONICOS_INTENSIDAD,,1,582,COS,,0,null
inventory_groups.601,TEMPERATURA,,1,600,CON,,0,null
inventory_groups.610,TEMPERATURA,,1,609,CON,,0,null
