FID,featureid,sensorid,phenomenon_time,battery_voltage,humidity,temperature,no_we,no_aux,no2_we,no2_aux,ox_we,ox_aux,co_aux,co_we,no_concentration,no2_concentration,ox_concentration,co_concentration
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_17914903370_70cd,,4018,2019-11-06T10:07:40.726,5.391,64.07789612,15.59956238,307.6171875,11.4440918,232.81860352,14.55688477,221.92382812,-5.12695312,156.09741211,483.6730957,-6.59723229,5.18961589,-13.44284406,277.28627523
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_17914903370_70ce,,4023,2019-11-06T10:06:43.57,5.302,65.53701782,15.44941101,295.8984375,0.64086914,236.38916016,17.02880859,233.55102539,3.66210938,158.4777832,485.32104492,1.13227763,21.15371436,-11.589898,314.00857869
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_17914903370_70cf,88,4025,2019-11-06T10:05:48.089,5.309,58.70680237,13.57788147,298.73657227,6.77490234,223.48022461,-1.37329102,233.91723633,12.35961914,78.55224609,417.02270508,-0.39421656,38.62694015,13.70949415,118.19626828
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_17914903370_70d0,,4024,2019-11-06T10:05:37.3,5.205,43.34501648,21.16856934,318.78662109,25.81787109,221.09985352,-8.5144043,234.6496582,7.14111328,92.65136719,429.29077148,3.31124061,15.5210924,51.88509949,176.10814145
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_17914903370_70d1,88,4020,2019-11-06T10:05:12.828,5.236,58.51797485,13.67440735,305.05371094,3.47900391,233.64257812,4.66918945,229.79736328,-2.38037109,50.26245117,399.44458008,-4.9431296,72.96023385,33.40148926,130.63329859
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_17914903370_70d2,88,4026,2019-11-06T10:00:05.474,5.15,58.81742859,13.44649902,304.87060547,12.45117188,242.8894043,16.38793945,233.82568359,11.90185547,86.60888672,428.64990234,-22.29503499,18.08033374,29.47634261,137.90326287
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_17914903370_70d3,,4018,2019-11-06T09:57:36.842,5.392,61.92449951,15.41455444,307.3425293,11.4440918,232.81860352,14.83154297,222.01538086,-4.85229492,156.82983398,485.41259766,-6.59723229,6.10514323,-12.54819193,278.81215413
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_17914903370_70d4,,4023,2019-11-06T09:56:45.041,5.301,62.72367859,15.27512817,295.25756836,0.2746582,235.47363281,16.84570312,234.55810547,3.93676758,159.02709961,485.32104492,0.48526184,20.51123904,-10.63622369,315.25419413
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_17914903370_70d5,88,4025,2019-11-06T09:55:44.754,5.309,58.76783752,13.34997314,300.01831055,6.40869141,222.74780273,-1.83105469,233.91723633,12.45117188,73.69995117,411.62109375,-1.03556671,37.10613061,13.99739583,107.87223654
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_17914903370_70d6,,4024,2019-11-06T09:55:39.19,5.204,43.41368103,20.78246582,363.0065918,70.95336914,221.09985352,-8.60595703,234.83276367,7.32421875,100.43334961,433.50219727,85.52526255,15.20430093,52.6676015,192.49126234
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_17914903370_70d7,88,4020,2019-11-06T09:55:16.886,5.235,58.69154358,13.43577393,304.04663086,2.01416016,232.63549805,3.93676758,230.16357422,-2.01416016,43.9453125,392.8527832,-7.81537224,70.49416693,34.67305501,116.46931054
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_17914903370_70d8,88,4017,2019-11-06T09:53:03.782,5.325,59.05966187,13.36069824,305.69458008,-1.46484375,242.06542969,20.59936523,223.29711914,-4.57763672,60.24169922,402.64892578,-3.98842031,51.95503642,15.8548634,140.53710938
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_17914903370_70d9,88,4026,2019-11-06T09:50:05.389,5.151,59.23323059,13.16228394,302.21557617,9.79614258,241.79077148,15.10620117,232.91015625,10.80322266,83.58764648,424.71313477,-27.42057417,13.77919856,25.83848562,130.79446232
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_17914903370_70da,,4024,2019-11-06T09:45:42.123,5.204,44.20713806,20.35346191,403.65600586,111.51123047,220.73364258,-8.97216797,234.19189453,6.59179688,116.9128418,444.30541992,159.40114839,13.93713506,49.53759348,227.1849301
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_17914903370_70db,88,4020,2019-11-06T09:45:12.905,5.236,59.05203247,13.16496521,303.40576172,1.83105469,232.63549805,3.75366211,229.98046875,-2.10571289,52.734375,401.00097656,-8.17440257,69.8776502,34.35516357,136.1757287
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_17914903370_70dc,,4018,2019-11-06T09:37:38.934,5.39,62.06564331,15.10084534,308.07495117,12.26806641,233.18481445,13.82446289,221.55761719,-5.03540039,162.32299805,491.54663086,-5.06852244,2.74820964,-13.14462668,290.25624593
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_17914903370_70dd,,4024,2019-11-06T09:35:38.618,5.207,44.2243042,20.08533447,379.11987305,87.890625,220.45898438,-8.69750977,235.74829102,8.05664062,150.14648438,480.1940918,116.37636612,14.88750946,55.79760951,297.15049342
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_17914903370_70de,88,4020,2019-11-06T09:35:14.939,5.233,59.27328491,12.96923218,304.04663086,2.28881836,232.45239258,3.57055664,229.70581055,-2.19726562,48.52294922,396.42333984,-7.27682675,69.26113347,34.03727214,126.73307
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_17914903370_70df,88,4017,2019-11-06T09:33:08.526,5.325,59.74630737,12.91292542,305.14526367,-1.19018555,240.96679688,19.86694336,222.10693359,-5.12695312,59.32617188,402.28271484,-3.54398956,49.34855288,14.24867507,138.50260417
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_17914903370_70e0,88,4026,2019-11-06T09:30:07.444,5.153,59.95420837,12.76009277,302.58178711,10.52856445,241.97387695,15.38085938,232.45239258,10.62011719,84.32006836,425.99487305,-26.00663233,14.70087039,25.23217612,132.5178079
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_17914903370_70e1,,4018,2019-11-06T09:27:41.957,5.392,61.48771667,14.95605652,308.71582031,12.45117188,231.35375977,14.55688477,221.83227539,-5.49316406,165.52734375,494.8425293,-4.72880914,5.18961589,-14.63571356,296.93196615
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_17914903370_70e2,88,4019,2019-11-06T09:22:53.974,5.303,59.76347351,12.76009277,305.32836914,11.62719727,227.41699219,5.49316406,246.09375,8.33129883,40.83251953,390.01464844,-6.09910079,37.07831824,4.87655248,113.82871686
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_17914903370_70e3,88,4026,2019-11-06T09:20:06.459,5.152,60.11442566,12.66356689,302.39868164,10.89477539,241.24145508,15.19775391,232.45239258,10.71166992,97.41210938,437.98828125,-25.29966141,14.0864225,25.53533087,163.32261029
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_17914903370_70e4,,4018,2019-11-06T09:17:36.473,5.392,61.19398499,14.80590515,308.25805664,12.45117188,231.90307617,13.64135742,221.64916992,-5.31005859,170.56274414,500.15258789,-4.72880914,2.13785807,-14.03927881,307.42238363
