FID,id,nombre_parking,num_plaza,cod_estado,estado,cod_vehiculo,tipo_vehiculo,tipo_plaza,GEOMETRY
sensores_es.fid-2ecf898a_18c43f09b72_501c,43,Parking Conventual Villanueva de la Serena,43,1,Ocupado,0,Coche,General,POINT (-5.794868066298029 38.9724201877854)
sensores_es.fid-2ecf898a_18c43f09b72_501d,25,Parking Conventual Villanueva de la Serena,25,1,Ocupado,0,Coche,General,POINT (-5.795098701530404 38.97255072948391)
sensores_es.fid-2ecf898a_18c43f09b72_501e,9,Parking Conventual Villanueva de la Serena,9,0,Libre,0,,General,POINT (-5.795256211343711 38.972550767291594)
sensores_es.fid-2ecf898a_18c43f09b72_501f,63,Parking Conventual Villanueva de la Serena,63,1,Ocupado,0,Coche,General,POINT (-5.794811304816691 38.97262136174461)
sensores_es.fid-2ecf898a_18c43f09b72_5020,23,Parking Conventual Villanueva de la Serena,23,1,Ocupado,0,Coche,General,POINT (-5.795006596289009 38.972596167621205)
sensores_es.fid-2ecf898a_18c43f09b72_5021,52,Parking Conventual Villanueva de la Serena,52,0,Libre,0,,General,POINT (-5.794979364021296 38.97248288598562)
sensores_es.fid-2ecf898a_18c43f09b72_5022,20,Parking Conventual Villanueva de la Serena,20,1,Ocupado,0,Coche,General,POINT (-5.794954413807797 38.97270660374991)
sensores_es.fid-2ecf898a_18c43f09b72_5023,10,Parking Conventual Villanueva de la Serena,10,0,Libre,0,,Discapacitado,POINT (-5.795271663251096 38.9725707121555)
sensores_es.fid-2ecf898a_18c43f09b72_5024,62,Parking Conventual Villanueva de la Serena,62,0,Libre,0,,General,POINT (-5.794787305192239 38.972633863954215)
sensores_es.fid-2ecf898a_18c43f09b72_5025,40,Parking Conventual Villanueva de la Serena,40,0,Libre,0,,General,POINT (-5.794802212404883 38.97245891957955)
sensores_es.fid-2ecf898a_18c43f09b72_5026,22,Parking Conventual Villanueva de la Serena,22,1,Ocupado,0,Coche,General,POINT (-5.794960882621705 38.97261879609909)
sensores_es.fid-2ecf898a_18c43f09b72_5027,7,Parking Conventual Villanueva de la Serena,7,1,Ocupado,0,Coche,General,POINT (-5.795224312299162 38.9725083066515)
sensores_es.fid-2ecf898a_18c43f09b72_5028,17,Parking Conventual Villanueva de la Serena,17,0,Libre,0,,General,POINT (-5.795035719795775 38.97267265831669)
sensores_es.fid-2ecf898a_18c43f09b72_5029,55,Parking Conventual Villanueva de la Serena,55,0,Libre,0,,General,POINT (-5.794903019150508 38.97252487394995)
sensores_es.fid-2ecf898a_18c43f09b72_502a,57,Parking Conventual Villanueva de la Serena,57,1,Ocupado,0,Coche,General,POINT (-5.794856532219559 38.972549308800346)
sensores_es.fid-2ecf898a_18c43f09b72_502b,69,Parking Conventual Villanueva de la Serena,69,0,Libre,0,,General,POINT (-5.794953974582532 38.972543837698694)
sensores_es.fid-2ecf898a_18c43f09b72_502c,45,Parking Conventual Villanueva de la Serena,45,1,Ocupado,0,Coche,General,POINT (-5.794911220517062 38.97239532835666)
sensores_es.fid-2ecf898a_18c43f09b72_502d,46,Parking Conventual Villanueva de la Serena,46,1,Ocupado,0,Coche,General,POINT (-5.794933084423535 38.97238244719186)
sensores_es.fid-2ecf898a_18c43f09b72_502e,19,Parking Conventual Villanueva de la Serena,19,1,Ocupado,0,Coche,General,POINT (-5.7949820110397585 38.972695331104624)
sensores_es.fid-2ecf898a_18c43f09b72_502f,33,Parking Conventual Villanueva de la Serena,33,0,Libre,0,,General,POINT (-5.794680583400003 38.9726863143091)
sensores_es.fid-2ecf898a_18c43f09b72_5030,53,Parking Conventual Villanueva de la Serena,53,0,Libre,0,,General,POINT (-5.794951152275633 38.97249881196445)
sensores_es.fid-2ecf898a_18c43f09b72_5031,73,Parking Conventual Villanueva de la Serena,73,1,Ocupado,0,Coche,General,POINT (-5.795049193879273 38.97249193301923)
sensores_es.fid-2ecf898a_18c43f09b72_5032,36,Parking Conventual Villanueva de la Serena,36,1,Ocupado,0,Coche,General,POINT (-5.794662045921068 38.97262175217041)
sensores_es.fid-2ecf898a_18c43f09b72_5033,71,Parking Conventual Villanueva de la Serena,71,1,Ocupado,0,Coche,General,POINT (-5.795001427799013 38.97251794486264)
sensores_es.fid-2ecf898a_18c43f09b72_5034,24,Parking Conventual Villanueva de la Serena,24,1,Ocupado,0,Coche,General,POINT (-5.79505392262877 38.97257291053165)
sensores_es.fid-2ecf898a_18c43f09b72_5035,51,Parking Conventual Villanueva de la Serena,51,1,Ocupado,0,Coche,General,POINT (-5.7949998054923855 38.972472437983626)
sensores_es.fid-2ecf898a_18c43f09b72_5036,18,Parking Conventual Villanueva de la Serena,18,1,Ocupado,0,Coche,General,POINT (-5.795008532398158 38.97268399301398)
sensores_es.fid-2ecf898a_18c43f09b72_5037,61,Parking Conventual Villanueva de la Serena,61,1,Ocupado,0,Coche,General,POINT (-5.7947616922019805 38.97260138682129)
sensores_es.fid-2ecf898a_18c43f09b72_5038,35,Parking Conventual Villanueva de la Serena,35,1,Ocupado,0,Coche,General,POINT (-5.79466765792117 38.97264329603815)
sensores_es.fid-2ecf898a_18c43f09b72_5039,65,Parking Conventual Villanueva de la Serena,65,1,Ocupado,0,Coche,General,POINT (-5.7948580988410265 38.972595520515306)
sensores_es.fid-2ecf898a_18c43f09b72_503a,27,Parking Conventual Villanueva de la Serena,27,1,Ocupado,0,Coche,General,POINT (-5.794840029806978 38.97271761603522)
sensores_es.fid-2ecf898a_18c43f09b72_503b,66,Parking Conventual Villanueva de la Serena,66,1,Ocupado,0,Coche,General,POINT (-5.79488143306018 38.97258241906011)
sensores_es.fid-2ecf898a_18c43f09b72_503c,58,Parking Conventual Villanueva de la Serena,58,0,Libre,0,,General,POINT (-5.7948329626279245 38.972562807804984)
sensores_es.fid-2ecf898a_18c43f09b72_503d,14,Parking Conventual Villanueva de la Serena,14,1,Ocupado,0,Coche,General,POINT (-5.79511538650902 38.9726387327575)
sensores_es.fid-2ecf898a_18c43f09b72_503e,15,Parking Conventual Villanueva de la Serena,15,1,Ocupado,0,Coche,General,POINT (-5.795087975311145 38.97265050143186)
sensores_es.fid-2ecf898a_18c43f09b72_503f,21,Parking Conventual Villanueva de la Serena,21,1,Ocupado,0,Coche,General,POINT (-5.794928325749679 38.97271752221262)
sensores_es.fid-2ecf898a_18c43f09b72_5040,56,Parking Conventual Villanueva de la Serena,56,1,Ocupado,0,Coche,General,POINT (-5.794879310884204 38.97253746327869)
sensores_es.fid-2ecf898a_18c43f09b72_5041,4,Parking Conventual Villanueva de la Serena,4,1,Ocupado,0,Coche,General,POINT (-5.795175835928343 38.9724452523014)
sensores_es.fid-2ecf898a_18c43f09b72_5042,13,Parking Conventual Villanueva de la Serena,13,1,Ocupado,0,Coche,General,POINT (-5.795141440748568 38.97262768468263)
sensores_es.fid-2ecf898a_18c43f09b72_5043,67,Parking Conventual Villanueva de la Serena,67,0,Libre,0,,General,POINT (-5.794904805776169 38.9725702965349)
sensores_es.fid-2ecf898a_18c43f09b72_5044,6,Parking Conventual Villanueva de la Serena,6,1,Ocupado,0,Coche,General,POINT (-5.795208254528248 38.97248732818938)
sensores_es.fid-2ecf898a_18c43f09b72_5045,37,Parking Conventual Villanueva de la Serena,37,1,Ocupado,0,Coche,General,POINT (-5.79465601676774 38.97259989506273)
sensores_es.fid-2ecf898a_18c43f09b72_5046,70,Parking Conventual Villanueva de la Serena,70,1,Ocupado,0,Coche,General,POINT (-5.794977460994091 38.97253095278489)
sensores_es.fid-2ecf898a_18c43f09b72_5047,39,Parking Conventual Villanueva de la Serena,39,1,Ocupado,0,Coche,General,POINT (-5.794781587595794 38.97247060703279)
