dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:relativeHumidity,ayto:windDirection,ayto:windSpeed,ayto:battery,ayto:temperature,ayto:solarRadiation,ayto:atmosphericPressure,ayto:rainfall,ayto:groundTemperature,ayto:soilMoistureTension,ayto:radiationPAR,uri
3247,2020-12-05T04:39:55Z,traffic,,,0.8953,,,,6.45,,,,10.96,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3247.csv
3242,2020-12-05T04:38:51Z,traffic,,,0.9165,,,,6.23,,,,,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3242.csv
3230,2020-12-05T04:38:29Z,traffic,,,0.9334,,,,6.33,,,,,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3230.csv
3241,2020-12-05T04:35:41Z,traffic,,,0.89,,,,6.66,,,,,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3241.csv
3245,2020-06-19T02:21:15Z,traffic,,,0.8878,,,,16.39,,,,280.0,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3245.csv
3221,2019-12-02T03:09:55Z,traffic,,,1.0,,,,9.5,,,,16.12,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3221.csv
3202,2019-12-02T03:07:36Z,traffic,,,1.0,,,,10.02,,,,,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3202.csv
3222,2019-12-02T03:07:18Z,traffic,,,1.0,,,,9.71,,,,10.96,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3222.csv
3213,2019-12-02T03:07:10Z,traffic,,,1.0,,,,9.84,,,,10.96,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3213.csv
3217,2019-12-02T03:06:20Z,traffic,,,1.0,,,,9.87,,,,11.29,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3217.csv
3218,2019-12-02T03:05:37Z,traffic,,,1.0,,,,9.69,,,,12.25,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3218.csv
3201,2019-12-02T03:05:13Z,traffic,,,1.0,,,,10.07,,,,,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3201.csv
3209,2019-12-02T03:04:36Z,traffic,,,1.0,,,,9.92,,,,11.91,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3209.csv
3212,2019-12-02T03:01:19Z,traffic,,,1.0,,,,10.05,,,,9.03,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3212.csv
3243,2019-09-11T00:37:43Z,traffic,,,0.7893,,,,18.31,,,,,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3243.csv
3204,2019-02-03T20:41:56Z,traffic,,,1.0,,,,4.71,,,,,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3204.csv
3214,2018-11-11T20:36:57Z,traffic,,,0.9825,,,,13.57,,,,32.98,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3214.csv
3238,2018-07-19T14:40:05Z,traffic,,,0.7477,,,,23.97,,,,26.45,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3238.csv
3206,2017-10-13T21:20:13Z,traffic,,,-2.08,,,,-39.7,,,,,,,http://datos.santander.es/api/datos/sensores_smart_irrigation/3206.csv
