dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:status,uri
3890,2021-08-27T07:47:52Z,parking,43.464710236,-3.797046423,1,http://datos.santander.es/api/datos/sensores_smart_parking/3890.csv
3853,2021-08-27T07:47:23Z,parking,43.464385986,-3.798945427,0,http://datos.santander.es/api/datos/sensores_smart_parking/3853.csv
3767,2021-08-27T07:47:04Z,parking,43.462833405,-3.798280239,1,http://datos.santander.es/api/datos/sensores_smart_parking/3767.csv
3828,2021-08-27T07:46:03Z,parking,43.463127136,-3.798073053,0,http://datos.santander.es/api/datos/sensores_smart_parking/3828.csv
3656,2021-08-27T07:45:55Z,parking,43.463188171,-3.797487497,1,http://datos.santander.es/api/datos/sensores_smart_parking/3656.csv
3909,2021-08-27T07:45:13Z,parking,43.464351654,-3.799315453,0,http://datos.santander.es/api/datos/sensores_smart_parking/3909.csv
3657,2021-08-27T07:45:11Z,parking,43.463191986,-3.797422647,1,http://datos.santander.es/api/datos/sensores_smart_parking/3657.csv
3885,2021-08-27T07:45:04Z,parking,43.46465683,-3.797361612,0,http://datos.santander.es/api/datos/sensores_smart_parking/3885.csv
3722,2021-08-27T07:44:00Z,parking,43.462524414,-3.79998064,0,http://datos.santander.es/api/datos/sensores_smart_parking/3722.csv
3923,2021-08-27T07:43:06Z,parking,43.463867188,-3.79941678,1,http://datos.santander.es/api/datos/sensores_smart_parking/3923.csv
3922,2021-08-27T07:43:02Z,parking,43.463916779,-3.799426317,1,http://datos.santander.es/api/datos/sensores_smart_parking/3922.csv
3921,2021-08-27T07:42:58Z,parking,43.463970184,-3.7994349,0,http://datos.santander.es/api/datos/sensores_smart_parking/3921.csv
3868,2021-08-27T07:40:50Z,parking,43.464572906,-3.797552109,1,http://datos.santander.es/api/datos/sensores_smart_parking/3868.csv
3869,2021-08-27T07:40:43Z,parking,43.464584351,-3.797484875,1,http://datos.santander.es/api/datos/sensores_smart_parking/3869.csv
4322,2021-08-27T07:40:27Z,parking,43.4721359,-3.8032846,1,http://datos.santander.es/api/datos/sensores_smart_parking/4322.csv
3684,2021-08-27T07:40:15Z,parking,43.463466644,-3.798293591,1,http://datos.santander.es/api/datos/sensores_smart_parking/3684.csv
3898,2021-08-27T07:40:01Z,parking,43.464008331,-3.798585892,1,http://datos.santander.es/api/datos/sensores_smart_parking/3898.csv
3858,2021-08-27T07:39:37Z,parking,43.464447021,-3.798368692,1,http://datos.santander.es/api/datos/sensores_smart_parking/3858.csv
3766,2021-08-27T07:39:04Z,parking,43.46289444,-3.798289537,1,http://datos.santander.es/api/datos/sensores_smart_parking/3766.csv
3919,2021-08-27T07:37:34Z,parking,43.464057922,-3.79945159,0,http://datos.santander.es/api/datos/sensores_smart_parking/3919.csv
3709,2021-08-27T07:37:19Z,parking,43.462421417,-3.800978422,1,http://datos.santander.es/api/datos/sensores_smart_parking/3709.csv
