dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:median_speed,ayto:occupancy,ayto:average_speed,ayto:count,uri
3319,2017-09-28T13:22:06Z,traffic,43.45269,-3.82795,-1.0,-1.0,-1.0,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3319.csv
3312,2017-09-28T13:22:06Z,traffic,43.45216,-3.82541,,-1.0,,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3312.csv
3313,2017-09-28T13:22:06Z,traffic,43.45225,-3.82543,,-1.0,,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3313.csv
3314,2017-09-28T13:22:06Z,traffic,43.45228,-3.82545,,-1.0,,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3314.csv
3315,2017-09-28T13:22:06Z,traffic,43.45233,-3.82549,,-1.0,,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3315.csv
3316,2017-09-28T13:22:06Z,traffic,43.45283,-3.82785,,-1.0,,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3316.csv
3317,2017-09-28T13:22:06Z,traffic,43.45281,-3.82789,,-1.0,,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3317.csv
3318,2017-09-28T13:22:06Z,traffic,43.4528,-3.82792,,-1.0,,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3318.csv
3321,2017-09-28T13:22:06Z,traffic,43.45266,-3.82801,-1.0,-1.0,-1.0,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3321.csv
3311,2017-09-28T13:22:06Z,traffic,43.45214,-3.8254,,-1.0,,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3311.csv
3310,2017-09-28T13:22:06Z,traffic,43.45209,-3.82538,,-1.0,,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3310.csv
3309,2017-09-28T13:22:06Z,traffic,43.45163,-3.82797,-1.0,-1.0,-1.0,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3309.csv
3301,2017-09-28T13:22:06Z,traffic,43.44984,-3.8301,,-1.0,,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3301.csv
3302,2017-09-28T13:22:06Z,traffic,43.44986,-3.83014,,-1.0,,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3302.csv
3303,2017-09-28T13:22:06Z,traffic,43.44988,-3.8302,,-1.0,,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3303.csv
3304,2017-09-28T13:22:06Z,traffic,43.44989,-3.83024,,-1.0,,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3304.csv
3305,2017-09-28T13:22:06Z,traffic,43.44991,-3.83027,,-1.0,,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3305.csv
3306,2017-09-28T13:22:06Z,traffic,43.45135,-3.82782,-1.0,-1.0,-1.0,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3306.csv
3307,2017-09-28T13:22:06Z,traffic,43.45138,-3.82784,-1.0,24.52,-1.0,186,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3307.csv
3308,2017-09-28T13:22:06Z,traffic,43.45161,-3.82796,-1.0,-1.0,-1.0,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3308.csv
3320,2017-09-28T13:22:06Z,traffic,43.45268,-3.82798,-1.0,-1.0,-1.0,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3320.csv
3300,2017-09-28T13:22:05Z,traffic,43.44984,-3.83006,,8.0,,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3300.csv
3336,2017-08-24T04:39:06Z,traffic,43.46697,-3.8332,,-1.0,,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3336.csv
3335,2017-08-24T04:39:06Z,traffic,43.46689,-3.83314,-1.0,-1.0,-1.0,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3335.csv
3334,2017-08-24T04:39:06Z,traffic,43.46686,-3.83312,-1.0,-1.0,-1.0,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3334.csv
3333,2017-08-24T04:39:06Z,traffic,43.46557,-3.8338,-1.0,-1.0,-1.0,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3333.csv
3332,2017-08-24T04:39:06Z,traffic,43.46555,-3.83383,-1.0,-1.0,-1.0,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3332.csv
3331,2017-08-24T04:39:06Z,traffic,43.46553,-3.83387,-1.0,-1.0,-1.0,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3331.csv
3330,2017-08-24T04:39:06Z,traffic,43.46547,-3.83396,-1.0,-1.0,-1.0,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3330.csv
3329,2017-08-24T04:39:06Z,traffic,43.46592,-3.83534,-1.0,-1.0,-1.0,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3329.csv
3328,2017-08-24T04:39:06Z,traffic,43.4659,-3.83531,-1.0,-1.0,-1.0,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3328.csv
3327,2017-08-24T04:39:06Z,traffic,43.4657,-3.83532,-1.0,-1.0,-1.0,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3327.csv
3326,2017-08-24T04:39:06Z,traffic,43.46567,-3.8353,-1.0,-1.0,-1.0,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3326.csv
3325,2017-08-24T04:39:06Z,traffic,43.46542,-3.83795,,-1.0,,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3325.csv
3324,2017-08-24T04:39:06Z,traffic,43.46539,-3.83794,,-1.0,,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3324.csv
3323,2017-08-24T04:39:06Z,traffic,43.46531,-3.83794,,-1.0,,-1,http://datos.santander.es/api/datos/sensores_smart_traffic_intensity/3323.csv
