Codigo;Decibelios medidos;Fecha/Hora medicion
BI-RUI-015;61.785;2023-11-09 00:00:07.787
BI-RUI-004;57.148;2023-11-09 00:00:19.273
BI-RUI-019;65.400;2023-11-09 00:00:21.053
BI-RUI-009;63.798;2023-11-09 00:00:26.51
BI-RUI-006;59.220;2023-11-09 00:00:33.917
BI-RUI-001;59.190;2023-11-09 00:00:41.37
BI-RUI-C002;58.532;2023-11-09 00:00:42.09
BI-RUI-C008;52.235;2023-11-09 00:01:44.83
BI-RUI-010;65.421;2023-11-09 00:02:09.96
BI-RUI-P011;60.7;2023-11-09 00:02:50.217
BI-RUI-C003;50.242;2023-11-09 00:03:22.487
BI-RUI-BR2;54.572;2023-11-09 00:03:31.267
BI-RUI-011;57.840;2023-11-09 00:05:28.423
BI-RUI-P009;64.6;2023-11-09 00:05:49.77
BI-RUI-BR5;63.148;2023-11-09 00:06:17.557
BI-RUI-008;57.737;2023-11-09 00:06:31.87
BI-RUI-P008;65.7;2023-11-09 00:06:34.357
BI-RUI-P006;68.7;2023-11-09 00:07:02.89
BI-RUI-C009;54.650;2023-11-09 00:07:26.097
BI-RUI-P012;68.4;2023-11-09 00:07:42.113
BI-RUI-022;62.297;2023-11-09 00:08:36.607
BI-RUI-021;58.20;2023-11-09 00:09:10.8
BI-RUI-BR7;55.372;2023-11-09 00:11:37.367
BI-RUI-C010;54.189;2023-11-09 00:12:17.12
BI-RUI-023;64.956;2023-11-09 00:12:21.513
BI-RUI-C005;65.80;2023-11-09 00:12:33.2
BI-RUI-P014;64.4;2023-11-09 00:12:47.767
BI-RUI-P002;56.3;2023-11-09 00:12:58.91
BI-RUI-C005;60.10;2023-11-09 00:13:57.073
BI-RUI-P010;62.6;2023-11-09 00:14:07.543
BI-RUI-BR8;64.80;2023-11-09 00:14:12.543
BI-RUI-020;62.30;2023-11-09 00:14:37.33
BI-RUI-BR6;63.20;2023-11-09 00:14:53.957
BI-RUI-015;62.826;2023-11-09 00:14:58.127
BI-RUI-C009;56.435;2023-11-09 00:15:08.787
BI-RUI-P005;65.2;2023-11-09 00:15:09.427
BI-RUI-004;56.476;2023-11-09 00:15:19.07
BI-RUI-006;58.916;2023-11-09 00:15:23.18
BI-RUI-009;59.709;2023-11-09 00:15:26.663
BI-RUI-019;65.497;2023-11-09 00:15:32.773
BI-RUI-001;76.634;2023-11-09 00:15:33.117
BI-RUI-C002;52.929;2023-11-09 00:15:51.4
BI-RUI-C008;57.886;2023-11-09 00:16:41.563
BI-RUI-010;65.732;2023-11-09 00:17:12.71
BI-RUI-P011;62.9;2023-11-09 00:17:50.543
BI-RUI-BR2;58.390;2023-11-09 00:18:25.453
BI-RUI-C003;53.596;2023-11-09 00:18:30.063
BI-RUI-011;61.105;2023-11-09 00:20:28.843
BI-RUI-P009;65.5;2023-11-09 00:20:50.41
BI-RUI-BR5;64.692;2023-11-09 00:21:10.99
BI-RUI-008;54.811;2023-11-09 00:21:20.447
BI-RUI-P008;67.5;2023-11-09 00:21:35.493
BI-RUI-P012;69.7;2023-11-09 00:22:45.613
BI-RUI-022;59.642;2023-11-09 00:23:35.213
BI-RUI-021;55.90;2023-11-09 00:24:20.563
BI-RUI-BR7;54.558;2023-11-09 00:26:44.57
BI-RUI-023;58.451;2023-11-09 00:27:14.557
BI-RUI-C010;53.472;2023-11-09 00:27:35.013
BI-RUI-P014;62.5;2023-11-09 00:27:47.983
BI-RUI-P013;62.5;2023-11-09 00:28:10.237
BI-RUI-P010;64.6;2023-11-09 00:29:07.9
BI-RUI-C005;57.50;2023-11-09 00:29:22.45
BI-RUI-BR8;60.80;2023-11-09 00:29:32.17
BI-RUI-020;60.50;2023-11-09 00:29:52.53
BI-RUI-015;64.442;2023-11-09 00:29:53.5
BI-RUI-004;56.961;2023-11-09 00:30:08.643
BI-RUI-P005;63.4;2023-11-09 00:30:09.643
BI-RUI-BR6;69.00;2023-11-09 00:30:19.597
BI-RUI-006;59.186;2023-11-09 00:30:23.457
BI-RUI-009;56.685;2023-11-09 00:30:27.177
BI-RUI-019;65.313;2023-11-09 00:30:32.333
BI-RUI-C002;54.297;2023-11-09 00:30:39.85
BI-RUI-001;61.311;2023-11-09 00:30:42.74
BI-RUI-C008;53.278;2023-11-09 00:31:34.437
BI-RUI-010;63.040;2023-11-09 00:32:16.8
BI-RUI-P011;69.2;2023-11-09 00:32:50.883
BI-RUI-C003;51.246;2023-11-09 00:33:20.17
BI-RUI-BR2;57.581;2023-11-09 00:33:33.343
BI-RUI-011;63.763;2023-11-09 00:35:28.953
BI-RUI-P009;67.8;2023-11-09 00:35:50.41
BI-RUI-008;58.302;2023-11-09 00:36:22.193
BI-RUI-BR5;66.286;2023-11-09 00:36:23.147
BI-RUI-P008;63.0;2023-11-09 00:36:35.057
BI-RUI-P006;69.0;2023-11-09 00:37:03.543
BI-RUI-C009;52.856;2023-11-09 00:37:12.437
BI-RUI-P012;65.1;2023-11-09 00:37:43.08
BI-RUI-022;59.703;2023-11-09 00:38:35.48
BI-RUI-021;60.20;2023-11-09 00:39:36.36
BI-RUI-BR7;56.162;2023-11-09 00:41:43.38
BI-RUI-023;67.088;2023-11-09 00:42:12.663
BI-RUI-C010;55.526;2023-11-09 00:42:16.853
BI-RUI-P014;64.2;2023-11-09 00:42:48.013
BI-RUI-P002;55.2;2023-11-09 00:42:59.623
BI-RUI-P013;62.6;2023-11-09 00:43:10.563
BI-RUI-P010;61.4;2023-11-09 00:44:07.9
BI-RUI-C005;65.60;2023-11-09 00:44:39.2
BI-RUI-BR8;66.90;2023-11-09 00:44:48.06
BI-RUI-015;62.840;2023-11-09 00:45:08.093
BI-RUI-020;65.60;2023-11-09 00:45:08.39
BI-RUI-004;58.924;2023-11-09 00:45:08.75
BI-RUI-P005;65.0;2023-11-09 00:45:09.94
BI-RUI-006;61.431;2023-11-09 00:45:14.033
BI-RUI-019;67.911;2023-11-09 00:45:20.987
BI-RUI-C009;54.404;2023-11-09 00:45:23.127
BI-RUI-009;61.977;2023-11-09 00:45:26.77
BI-RUI-001;59.921;2023-11-09 00:45:35.05
BI-RUI-BR6;76.20;2023-11-09 00:45:36.067
BI-RUI-C002;55.685;2023-11-09 00:45:43.007
BI-RUI-C008;56.917;2023-11-09 00:46:44.187
BI-RUI-010;65.006;2023-11-09 00:47:10.207
BI-RUI-C003;54.952;2023-11-09 00:48:29.357
BI-RUI-BR2;61.072;2023-11-09 00:48:32.467
BI-RUI-011;64.831;2023-11-09 00:50:35.657
BI-RUI-P009;65.4;2023-11-09 00:50:50.813
BI-RUI-008;57.500;2023-11-09 00:51:22.41
BI-RUI-BR5;65.539;2023-11-09 00:51:22.897
BI-RUI-P008;62.9;2023-11-09 00:51:35.227
BI-RUI-P006;68.2;2023-11-09 00:52:03.573
BI-RUI-P012;67.7;2023-11-09 00:52:43.61
BI-RUI-022;64.284;2023-11-09 00:53:35.553
BI-RUI-021;63.60;2023-11-09 00:54:52.317
BI-RUI-BR7;57.437;2023-11-09 00:56:32.907
BI-RUI-023;71.584;2023-11-09 00:57:15.38
BI-RUI-C010;59.624;2023-11-09 00:57:17.633
BI-RUI-P014;64.9;2023-11-09 00:57:48.06
BI-RUI-P002;56.3;2023-11-09 00:57:59.78
BI-RUI-P013;63.2;2023-11-09 00:58:10.763
BI-RUI-P010;65.0;2023-11-09 00:59:08.24
BI-RUI-C005;68.80;2023-11-09 00:59:55.78
BI-RUI-015;59.262;2023-11-09 01:00:02.28
BI-RUI-BR8;72.00;2023-11-09 01:00:13.563
BI-RUI-004;60.142;2023-11-09 01:00:15.907
BI-RUI-009;59.281;2023-11-09 01:00:18.08
BI-RUI-006;61.863;2023-11-09 01:00:23.563
BI-RUI-020;66.00;2023-11-09 01:00:23.737
BI-RUI-019;64.548;2023-11-09 01:00:31.173
BI-RUI-001;59.748;2023-11-09 01:00:32.08
BI-RUI-C002;56.288;2023-11-09 01:00:53.257
BI-RUI-BR6;67.10;2023-11-09 01:01:01.443
BI-RUI-C008;58.503;2023-11-09 01:01:45.153
BI-RUI-010;63.297;2023-11-09 01:02:10.453
BI-RUI-P011;59.4;2023-11-09 01:02:51.537
BI-RUI-BR2;58.636;2023-11-09 01:03:25.243
BI-RUI-C003;54.630;2023-11-09 01:03:29.823
BI-RUI-011;61.958;2023-11-09 01:05:29.01
BI-RUI-P009;68.9;2023-11-09 01:05:51.907
BI-RUI-008;55.337;2023-11-09 01:06:22.52
BI-RUI-BR5;63.661;2023-11-09 01:06:24.287
BI-RUI-P008;62.8;2023-11-09 01:06:35.473
BI-RUI-P006;64.8;2023-11-09 01:07:03.93
BI-RUI-P012;66.7;2023-11-09 01:07:44.123
BI-RUI-022;64.175;2023-11-09 01:08:35.68
BI-RUI-021;60.30;2023-11-09 01:10:02.377
BI-RUI-BR7;53.574;2023-11-09 01:11:36.17
BI-RUI-023;66.970;2023-11-09 01:12:14.6
BI-RUI-C010;50.852;2023-11-09 01:12:34.117
BI-RUI-P014;62.6;2023-11-09 01:12:48.087
BI-RUI-P002;53.6;2023-11-09 01:13:00.01
BI-RUI-P010;62.6;2023-11-09 01:14:08.567
BI-RUI-015;58.269;2023-11-09 01:15:01.357
BI-RUI-C009;45.050;2023-11-09 01:15:06.42
BI-RUI-P005;59.9;2023-11-09 01:15:10.543
BI-RUI-009;49.896;2023-11-09 01:15:20.5
BI-RUI-006;61.559;2023-11-09 01:15:20.983
BI-RUI-C005;51.80;2023-11-09 01:15:22.623
BI-RUI-004;56.887;2023-11-09 01:15:23.563
BI-RUI-019;63.369;2023-11-09 01:15:28.11
BI-RUI-BR8;50.20;2023-11-09 01:15:38.987
BI-RUI-020;59.80;2023-11-09 01:15:39.033
BI-RUI-001;56.954;2023-11-09 01:15:40.11
BI-RUI-C002;50.697;2023-11-09 01:15:52.253
BI-RUI-BR6;62.10;2023-11-09 01:16:17.6
BI-RUI-C008;52.898;2023-11-09 01:16:34.587
BI-RUI-010;63.480;2023-11-09 01:17:20.093
BI-RUI-P011;54.8;2023-11-09 01:17:51.893
BI-RUI-C003;50.234;2023-11-09 01:18:30.087
BI-RUI-BR2;55.517;2023-11-09 01:18:32.98
BI-RUI-011;53.821;2023-11-09 01:20:29.15
BI-RUI-P009;60.2;2023-11-09 01:20:51.747
BI-RUI-BR5;68.468;2023-11-09 01:21:30.16
BI-RUI-008;51.266;2023-11-09 01:21:32.317
BI-RUI-P008;61.7;2023-11-09 01:21:35.613
BI-RUI-P012;62.1;2023-11-09 01:22:44.64
BI-RUI-022;55.603;2023-11-09 01:23:35.8
BI-RUI-021;63.60;2023-11-09 01:25:18.033
BI-RUI-BR7;51.138;2023-11-09 01:26:45.0
BI-RUI-023;68.089;2023-11-09 01:27:13.02
BI-RUI-C010;50.816;2023-11-09 01:27:22.6
BI-RUI-P014;59.4;2023-11-09 01:27:48.71
BI-RUI-P013;56.8;2023-11-09 01:28:11.933
BI-RUI-P010;60.6;2023-11-09 01:29:09.033
BI-RUI-015;62.824;2023-11-09 01:30:08.387
BI-RUI-P005;61.9;2023-11-09 01:30:11.137
BI-RUI-009;54.076;2023-11-09 01:30:20.403
BI-RUI-006;61.857;2023-11-09 01:30:20.967
BI-RUI-004;59.083;2023-11-09 01:30:23.67
BI-RUI-001;63.474;2023-11-09 01:30:30.67
BI-RUI-019;61.779;2023-11-09 01:30:32.763
BI-RUI-C002;50.603;2023-11-09 01:30:40.25
BI-RUI-020;57.80;2023-11-09 01:30:54.987
BI-RUI-C005;59.60;2023-11-09 01:31:01.3
BI-RUI-BR8;61.30;2023-11-09 01:31:04.613
BI-RUI-BR6;56.80;2023-11-09 01:31:43.01
BI-RUI-C008;55.376;2023-11-09 01:31:44.523
BI-RUI-010;64.164;2023-11-09 01:32:13.293
BI-RUI-P011;53.1;2023-11-09 01:32:52.253
BI-RUI-BR2;57.156;2023-11-09 01:33:16.507
